[GENERAL]
DATE=June 04, 2015 at 12:43:37
CYME_VERSION=7.10
CYMDIST_REVISION=05

[SI]

[CUSTOMER CLASS]
FORMAT_CUSTOMERCLASS=ID,DCCustomerType,Description,Color,ConstantPower,ConstantCurrent,ConstantImpedance,UtilizationFactor,PowerFactor,MeteredLoads,NonMeteredLoads,LoadFactor,FrequencySensitivityP,FrequencySensitivityQ,EnableHarmonic,IsExponentialModel,ConstantImpedanceZP,ConstantImpedanceZQ,ConstantCurrentIP,ConstantCurrentIQ,ConstantPowerPP,ConstantPowerPQ,ExponentialModelP,ExponentialModelQ,LoadFlowVoltagePercentOfNominal,LossesPerCustomer,ConnectedCenterTap1N,ConnectedCenterTap2N,AdjustmentSettings,PowerCurveModel,PowerCurveModelId
Commercial,0,,0,100.000000,0.000000,0.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,0.000000,50.000000,50.000000,,,
Industrial,0,,0,100.000000,0.000000,0.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,0.000000,50.000000,50.000000,,,
Residential,0,,0,100.000000,0.000000,0.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,0.000000,50.000000,50.000000,,,


[LOADS]
FORMAT_LOADS=SectionID,DeviceNumber,DeviceStage,LoadType,Connection,Location
263514997,40892754,,SPOT,0,2
260972099,41041124,,SPOT,0,2
261002729,41056068,,SPOT,0,2
259005024,40160723,,SPOT,0,2
260784288,40921225,,SPOT,0,2
260784283,40921221,,SPOT,0,2
260972114,41041100,,SPOT,0,2
261002704,41056072,,SPOT,0,2
259583268,40131686,,SPOT,0,2
469799525,40129626,,SPOT,0,2
260972119,41041104,,SPOT,0,2
261031162,41072677,,SPOT,0,2
260784308,40921241,,SPOT,0,2
460932370,40891262,,SPOT,0,2
259005007,40160719,,SPOT,0,2
261085131,41116488,,SPOT,0,2
260784303,40921237,,SPOT,0,2
471228080,40129632,,SPOT,0,2
259005102,40160733,,SPOT,0,2
263730564,41056084,,SPOT,0,2
469800070,40891266,,SPOT,0,2
261107769,41116484,,SPOT,0,2
260745475,40892814,,SPOT,0,2
460932294,40129608,,SPOT,0,2
260745435,40892790,,SPOT,0,2
263511748,40131742,,SPOT,0,2
263730582,41056056,,SPOT,0,2
263701642,41041120,,SPOT,0,2
263511721,40131798,,SPOT,0,2
259004983,40254353,,SPOT,0,2
263701624,41041096,,SPOT,0,2
258850663,40131678,,SPOT,0,2
258840465,40131654,,SPOT,0,2
258839874,40129546,,SPOT,0,2
259176597,40131666,,SPOT,0,2
263701606,41072697,,SPOT,0,2
263565080,40921193,,SPOT,0,2
264494249,40129630,,SPOT,0,2
258850643,40131672,,SPOT,0,2
258850768,40131688,,SPOT,0,2
260745310,40892714,,SPOT,0,2
258839857,40129544,,SPOT,0,2
263565089,40921181,,SPOT,0,2
258839852,40129540,,SPOT,0,2
258840260,40129598,,SPOT,0,2
258850567,40189101,,SPOT,0,2
258839951,40129556,,SPOT,0,2
258840364,40129606,,SPOT,0,2
258851464,40131836,,SPOT,0,2
258840245,40129596,,SPOT,0,2
258840428,40129620,,SPOT,0,2
264494202,40129568,,SPOT,0,2
258850547,40131660,,SPOT,0,2
258850542,40131658,,SPOT,0,2
258850728,40131684,,SPOT,0,2
258840482,40129624,,SPOT,0,2
258840401,40129616,,SPOT,0,2
258851440,40131828,,SPOT,0,2
263714480,40213364,,SPOT,0,2
258839914,40129550,,SPOT,0,2
258840169,40131832,,SPOT,0,2
263515060,40892802,,SPOT,0,2
466987568,40892770,,SPOT,0,2
263515069,40892778,,SPOT,0,2
258851363,40131810,,SPOT,0,2
258851420,40131824,,SPOT,0,2
258840147,40129584,,SPOT,0,2
258851242,40131782,,SPOT,0,2
264494184,40129548,,SPOT,0,2
263515168,40892826,,SPOT,0,2
258851346,40131804,,SPOT,0,2
258840305,40129604,,SPOT,0,2
258851405,40131820,,SPOT,0,2
258840300,40129602,,SPOT,0,2
259121513,40131668,,SPOT,0,2
258851400,40131818,,SPOT,0,2
258851481,40252185,,SPOT,0,2
258840125,40129578,,SPOT,0,2
258840120,40129576,,SPOT,0,2
263515141,40131812,,SPOT,0,2
258851047,40131740,,SPOT,0,2
259200539,40204491,,SPOT,0,2
263815486,41116492,,SPOT,0,2
258851326,40131802,,SPOT,0,2
260987677,41048672,,SPOT,0,2
258851286,40131792,,SPOT,0,2
258851205,40131774,,SPOT,0,2
263515123,40892798,,SPOT,0,2
258851200,40131772,,SPOT,0,2
258851281,40131790,,SPOT,0,2
258851022,40131734,,SPOT,0,2
258851148,40131758,,SPOT,0,2
263515006,40131726,,SPOT,0,2
263515087,40131762,,SPOT,0,2
258851385,40131816,,SPOT,0,2
258851301,40131794,,SPOT,0,2
258851380,40131814,,SPOT,0,2
258851126,40131760,,SPOT,0,2
258851007,40131732,,SPOT,0,2
258851082,40131750,,SPOT,0,2
472684497,40892706,,SPOT,0,2
259237098,40160717,,SPOT,0,2
472684357,40891278,,SPOT,0,2
263514862,40131722,,SPOT,0,2
258851106,40131752,,SPOT,0,2
258851183,40131770,,SPOT,0,2
472684231,40891290,,SPOT,0,2
472684516,40892710,,SPOT,0,2
258851188,40131766,,SPOT,0,2
472684339,40891294,,SPOT,0,2
263514844,40892726,,SPOT,0,2
258850963,40131724,,SPOT,0,2
288683098,41841716,,SPOT,0,2
260784278,40921217,,SPOT,0,2
260039956,40394413,,SPOT,0,2
261002774,41056112,,SPOT,0,2
264516157,40129586,,SPOT,0,2
258850946,40131720,,SPOT,0,2
259005056,40160729,,SPOT,0,2
263514880,40892762,,SPOT,0,2
260784258,40921205,,SPOT,0,2
260972124,41041112,,SPOT,0,2
263514808,40892722,,SPOT,0,2
263514889,40131714,,SPOT,0,2
260784253,40921201,,SPOT,0,2
261002754,41056092,,SPOT,0,2
460932567,40258603,,SPOT,0,2
258850922,40131712,,SPOT,0,2
260972084,41041108,,SPOT,0,2
263514907,40892734,,SPOT,0,2
261002759,41056096,,SPOT,0,2
259005034,40160725,,SPOT,0,2
263514988,40892758,,SPOT,0,2
259172464,40131830,,SPOT,0,2
260972104,41072681,,SPOT,0,2
261002734,41056076,,SPOT,0,2
259983252,40383060,,SPOT,0,2
258850987,40131728,,SPOT,0,2
261002694,41056104,,SPOT,0,2
260784298,40921233,,SPOT,0,2
260784293,40921229,,SPOT,0,2
259005019,40160721,,SPOT,0,2
261031177,41072693,,SPOT,0,2
261031172,41072689,,SPOT,0,2
260874524,41001510,,SPOT,0,2
261002719,41056060,,SPOT,0,2
260745460,40892806,,SPOT,0,2
261031157,41072673,,SPOT,0,2
263730573,41056116,,SPOT,0,2
259004978,40160715,,SPOT,0,2
263862870,41134678,,SPOT,0,2
460932382,40891270,,SPOT,0,2
260745420,40892782,,SPOT,0,2
263511658,40131838,,SPOT,0,2
263565071,40921213,,SPOT,0,2
263511757,40129612,,SPOT,0,2
263730591,41056080,,SPOT,0,2
263973875,40921189,,SPOT,0,2
259586299,40298113,,SPOT,0,2
263511730,40131796,,SPOT,0,2
263511739,40131748,,SPOT,0,2
258850678,40131680,,SPOT,0,2
263511694,40129580,,SPOT,0,2
258850773,40131692,,SPOT,0,2
263701633,41072669,,SPOT,0,2
263511712,40892818,,SPOT,0,2
258840455,40129622,,SPOT,0,2
258850658,40131674,,SPOT,0,2
258840275,40129600,,SPOT,0,2
263638670,40129628,,SPOT,0,2
263701615,41041116,,SPOT,0,2
263565098,40921185,,SPOT,0,2
258850579,40131664,,SPOT,0,2
258850552,40131662,,SPOT,0,2
258839941,40129554,,SPOT,0,2
258840411,40129618,,SPOT,0,2
258840359,41841715,,SPOT,0,2
258851271,40131786,,SPOT,0,2
258850713,40131682,,SPOT,0,2
258839924,40129552,,SPOT,0,2
263701597,41072685,,SPOT,0,2
264021669,41234455,,SPOT,0,2
258851430,40131826,,SPOT,0,2
258840152,40129588,,SPOT,0,2
258840213,40129592,,SPOT,0,2
258840035,40129566,,SPOT,0,2
258840218,40129594,,SPOT,0,2
258840030,40129564,,SPOT,0,2
258851072,40131746,,SPOT,0,2
258839983,40129558,,SPOT,0,2
258840396,40129614,,SPOT,0,2
472684462,40891298,,SPOT,0,2
258851415,40131822,,SPOT,0,2
263515078,40892786,,SPOT,0,2
258851353,40131806,,SPOT,0,2
258840135,40129582,,SPOT,0,2
258851230,40131778,,SPOT,0,2
258840015,40129562,,SPOT,0,2
258851057,40131744,,SPOT,0,2
258840091,40129570,,SPOT,0,2
263515051,40892810,,SPOT,0,2
258840098,40129572,,SPOT,0,2
259545341,40288218,,SPOT,0,2
258851331,40131808,,SPOT,0,2
258840193,40129590,,SPOT,0,2
258851215,40131784,,SPOT,0,2
258840110,40129574,,SPOT,0,2
258851210,40131776,,SPOT,0,2
258851037,40131738,,SPOT,0,2
263515033,40892774,,SPOT,0,2
258851032,40131736,,SPOT,0,2
263515159,40892822,,SPOT,0,2
258851158,40131764,,SPOT,0,2
472684368,40891274,,SPOT,0,2
263815495,41103388,,SPOT,0,2
258851316,40131800,,SPOT,0,2
258851136,40131756,,SPOT,0,2
259500286,40278167,,SPOT,0,2
263515096,40131780,,SPOT,0,2
263515015,40892766,,SPOT,0,2
472684225,40891286,,SPOT,0,2
472684220,40891282,,SPOT,0,2
258851111,40131754,,SPOT,0,2
263515114,40892794,,SPOT,0,2
263514871,40131718,,SPOT,0,2
472684283,41056932,,SPOT,0,2
260784263,40921209,,SPOT,0,2
261002764,41056100,,SPOT,0,2
472684083,86464853,,SPOT,0,2
261002769,41056108,,SPOT,0,2
259005063,40196713,,SPOT,0,2
260784248,40921197,,SPOT,0,2
263514835,40892730,,SPOT,0,2
261002749,41056088,,SPOT,0,2
259005044,40160731,,SPOT,0,2
263514817,40892718,,SPOT,0,2
261002724,41056064,,SPOT,0,2
260972094,41041128,,SPOT,0,2
258850992,40131730,,SPOT,0,2

[CUSTOMER LOADS]
FORMAT_CUSTOMERLOADS=SectionID,DeviceNumber,LoadType,CustomerNumber,CustomerType,ConnectionStatus,LockDuringLoadAllocation,Year,LoadModelID,NormalPriority,EmergencyPriority,ValueType,LoadPhase,Value1,Value2,ConnectedKVA,KWH,NumberOfCustomer,CenterTapPercent,CenterTapPercent2,LoadValue1N1,LoadValue1N2,LoadValue2N1,LoadValue2N2
263514997,40892754,SPOT,40892754,Commercial,0,0,2013,1,0,0,0,A,18.138019,1.202353,75.000000,24.320000,1.000000,,,,,,
263514997,40892754,SPOT,40892754,Commercial,0,0,2013,1,0,0,0,B,13.444529,1.325318,75.000000,24.320000,0.000000,,,,,,
263514997,40892754,SPOT,40892754,Commercial,0,0,2013,1,0,0,0,C,17.327622,0.657056,75.000000,24.320000,0.000000,,,,,,
260972099,41041124,SPOT,41041124,Residential,0,0,2013,1,0,0,0,B,17.926039,1.767091,100.000000,72.000000,7.000000,,,,,,
261002729,41056068,SPOT,41056068,Residential,0,0,2013,1,0,0,0,B,8.963020,0.883545,50.000000,89.000000,10.000000,,,,,,
259005024,40160723,SPOT,40160723,Residential,0,0,2013,1,0,0,0,B,1.792604,0.176709,10.000000,18.000000,1.000000,,,,,,
260784288,40921225,SPOT,40921225,Commercial,0,0,2013,1,0,0,0,C,11.551748,0.438038,50.000000,65.000000,10.000000,,,,,,
260784283,40921221,SPOT,40921221,Commercial,0,0,2013,1,0,0,0,C,11.551748,0.438038,50.000000,79.000000,9.000000,,,,,,
260972114,41041100,SPOT,41041100,Residential,0,0,2013,1,0,0,0,C,23.103496,0.876075,100.000000,83.000000,8.000000,,,,,,
261002704,41056072,SPOT,41056072,Residential,0,0,2013,1,0,0,0,B,8.963020,0.883545,50.000000,60.000000,6.000000,,,,,,
259583268,40131686,SPOT,40131686,Residential,0,0,2013,1,0,0,0,A,18.138019,1.202353,75.000000,0.000000,0.000000,,,,,,
259583268,40131686,SPOT,40131686,Residential,0,0,2013,1,0,0,0,B,13.444529,1.325318,75.000000,0.000000,0.000000,,,,,,
