"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase"
5281, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 103.0148, 75.5442, 19.9 
5286, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 104.7768, 76.83631, 19.9 
5287, "Transformer.05410_G2100GI2700", 1.381, 1.883, 103.4478, 75.86169, 19.9 
5287, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 117.975, 86.51497, 19.9 
5288, "Transformer.05410_G2100GI2700", 1.381, 1.883, 110.6577, 81.14895, 19.9 
5288, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 129.8987, 95.25907, 19.9 
5289, "Transformer.05410_G2100GI2700", 1.381, 1.883, 123.6429, 90.67145, 19.9 
5289, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 148.0947, 108.6028, 19.9 
5290, "Transformer.05410_G2100GI2700", 1.381, 1.883, 139.9006, 102.5938, 19.9 
5290, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 165.7539, 121.5529, 19.9 
5291, "Transformer.05410_G2100GI2700", 1.381, 1.883, 154.1523, 113.045, 19.9 
5291, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 181.528, 133.1205, 19.9 
5292, "Transformer.05410_G2100EN2200", 2.761, 3.765, 102.004, 74.80297, 19.9 
5292, "Transformer.05410_G2100GI2700", 1.381, 1.883, 168.3241, 123.4377, 19.9 
5292, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 193.6841, 142.035, 19.9 
5293, "Transformer.05410_G2100DL9800", 2.071, 2.824, 102.5521, 75.20484, 19.9 
5293, "Transformer.05410_G2100EN2200", 2.761, 3.765, 107.0939, 78.53551, 19.9 
5293, "Transformer.05410_G2100GI2700", 1.381, 1.883, 176.7522, 129.6183, 19.9 
5293, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 203.0132, 148.8763, 19.9 
5293, "Transformer.05410_G2101BC7200", 7.217, 9.841, 103.042, 75.56416, 7.62 
5293, "Transformer.05410_G2102CC0600", 1.381, 1.883, 104.6053, 76.71056, 19.9 
5294, "Transformer.05410_G2100DL9800", 2.071, 2.824, 108.34, 79.44931, 19.9 
5294, "Transformer.05410_G2100EN2200", 2.761, 3.765, 113.3674, 83.13612, 19.9 
5294, "Transformer.05410_G2100GI2700", 1.381, 1.883, 187.1539, 137.2462, 19.9 
5294, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 215.4072, 157.9653, 19.9 
5294, "Transformer.05410_G2101BC7200", 7.217, 9.841, 109.2966, 80.15084, 7.62 
5294, "Transformer.05410_G2102CC0600", 1.381, 1.883, 110.9673, 81.37601, 19.9 
5295, "Transformer.05410_G2100DL9800", 2.071, 2.824, 110.9558, 81.36759, 19.9 
5295, "Transformer.05410_G2100EN2200", 2.761, 3.765, 116.7322, 85.60359, 19.9 
5295, "Transformer.05410_G2100GI2700", 1.381, 1.883, 192.7383, 141.3414, 19.9 
5295, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 220.1587, 161.4497, 19.9 
5295, "Transformer.05410_G2101BC7200", 7.217, 9.841, 111.6898, 81.90585, 7.62 
5295, "Transformer.05410_G2102CC0600", 1.381, 1.883, 113.4034, 83.16249, 19.9 
5296, "Transformer.05410_G2100DL9800", 2.071, 2.824, 112.8078, 82.72573, 19.9 
5296, "Transformer.05410_G2100EN2200", 2.761, 3.765, 117.7733, 86.36712, 19.9 
5296, "Transformer.05410_G2100GI2700", 1.381, 1.883, 194.4522, 142.5983, 19.9 
5296, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 224.2304, 164.4356, 19.9 
5296, "Transformer.05410_G2101BC7200", 7.217, 9.841, 113.75, 83.41665, 7.62 
5296, "Transformer.05410_G2102CC0600", 1.381, 1.883, 115.4962, 84.69723, 19.9 
5297, "Transformer.05410_G2100DL9800", 2.071, 2.824, 112.8232, 82.73702, 19.9 
