"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
5281, 10419.2, -2417.37, 10419.2, 10696, 10200, 2210.04, 10200, 10436.7, 0.835979, 0, 0.839334, 0, 219.254, -1079.86, 219.254, 1079.86, 88.4189, -1449.58, 130.835, 369.727, 88.4189, 130.835, 62.9027, 156.351, 50.1569, 0.51411, 50.671, 12.2317, 0, 0, 0, 0, 169.484, 6.53462, 34.1192, 9.11615, 0, 0, 0, 44.464, 6.53462, 2.78792, 9.11615, 0, 0, 0, 20.8058, 0, 4.71042, 0, 0, 0, 0, 104.214, 0, 26.6208, 0, 0, 0, 0, 0, 5955.37, 0, 4244.64, 0, 0, 0
5282, 9779.14, -2581.36, 10419.2, 10696, 9569.46, 2081.69, 10200, 10436.7, 0, 0, 0, 0, 209.512, -1106.12, 219.254, 1106.12, 78.3274, -1476.84, 131.185, 370.717, 88.4189, 131.185, 55.886, 153.626, 44.7357, 0.418888, 45.1546, 10.7314, 0, 0, 0, 0, 162.474, 5.71421, 33.3202, 8.00343, 0, 0, 0, 39.7026, 5.71421, 2.46572, 8.00343, 0, 0, 0, 18.2863, 0, 4.15506, 0, 0, 0, 0, 104.485, 0, 26.6994, 0, 0, 0, 0, 0, 5587.02, 0, 3982.44, 0, 0, 0
5283, 9362.75, -2687.27, 10419.2, 10696, 9159.03, 1995.98, 10200, 10436.7, 0, 0, 0, 0, 203.653, -1121.96, 219.254, 1121.96, 72.2529, -1493.28, 131.4, 371.325, 88.4189, 131.4, 51.672, 151.981, 41.4406, 0.386618, 41.8272, 9.8448, 0, 0, 0, 0, 158.259, 5.23867, 32.8366, 7.31839, 0, 0, 0, 36.8487, 5.23867, 2.26621, 7.31839, 0, 0, 0, 16.7604, 0, 3.82051, 0, 0, 0, 0, 104.65, 0, 26.7499, 0, 0, 0, 0, 0, 5347.65, 0, 3811.38, 0, 0, 0
5284, 9148.8, -2741.85, 10419.2, 10696, 8948.09, 1951.93, 10200, 10436.7, 0, 0, 0, 0, 200.697, -1130.09, 219.254, 1130.09, 69.1765, -1501.75, 131.52, 371.667, 88.4189, 131.52, 49.5279, 151.169, 39.7938, 0.348428, 40.1423, 9.38567, 0, 0, 0, 0, 156.126, 4.98184, 32.6099, 6.97931, 0, 0, 0, 35.391, 4.98184, 2.17578, 6.97931, 0, 0, 0, 15.9903, 0, 3.65826, 0, 0, 0, 0, 104.745, 0, 26.7759, 0, 0, 0, 0, 0, 5224.33, 0, 3723.76, 0, 0, 0
5285, 9637.99, -2617.5, 10419.2, 10696, 9430.6, 2051.12, 10200, 10436.7, 0, 0, 0, 0, 207.487, -1111.78, 219.254, 1130.09, 76.2132, -1482.75, 131.274, 370.97, 88.4189, 131.52, 54.4052, 153.082, 43.5868, 0.395144, 43.982, 10.4233, 0, 0, 0, 0, 161.003, 5.54194, 33.1748, 7.76734, 0, 0, 0, 38.689, 5.54194, 2.40698, 7.76734, 0, 0, 0, 17.7588, 0, 4.04918, 0, 0, 0, 0, 104.555, 0, 26.7186, 0, 0, 0, 0, 0, 5505.95, 0, 3924.66, 0, 0, 0
5286, 10777.1, -2325.98, 10777.1, 11025.2, 10552.3, 2282.69, 10552.3, 10796.3, 1.32405, 0, 1.35159, 0, 224.798, -1065.09, 224.798, 1130.09, 94.1434, -1434.31, 130.654, 369.217, 94.1434, 131.52, 66.8495, 157.948, 53.3045, 0.494241, 53.7988, 13.0508, 0, 0, 0, 0, 173.447, 6.9492, 34.6278, 9.77358, 0, 0, 0, 47.1219, 6.9492, 3.00481, 9.77358, 0, 0, 0, 22.2452, 0, 5.04871, 0, 0, 0, 0, 104.08, 0, 26.5743, 0, 0, 0, 0, 0, 6160.37, 0, 4391.89, 0, 0, 0
5287, 12073.4, -1991.55, 12073.4, 12236.6, 11826.3, 2540.93, 11826.3, 12096.2, 4.96975, 0, 6.66276, 0, 247.188, -1005.46, 247.188, 1130.09, 117.256, -1372.63, 129.933, 367.175, 117.256, 131.52, 82.9456, 164.243, 65.8976, 0.628362, 66.5259, 16.4196, 0, 0, 0, 0, 189.594, 8.75594, 36.4914, 12.3469, 0, 0, 0, 58.079, 8.75594, 3.76364, 12.3469, 0, 0, 0, 27.9894, 0, 6.3206, 0, 0, 0, 0, 103.525, 0, 26.4072, 0, 0, 0, 0, 0, 6903.71, 0, 4922.58, 0, 0, 0
5288, 13087.9, -1726.97, 13087.9, 13201.3, 12820.9, 2738.32, 12820.9, 13110, 8.24584, 0, 13.5658, 0, 267.027, -952.772, 267.027, 1130.09, 137.717, -1318.19, 129.31, 365.414, 137.717, 131.52, 97.2304, 169.797, 76.9684, 0.814545, 77.7829, 19.4475, 0, 0, 0, 0, 203.906, 10.4051, 38.138, 14.5782, 0, 0, 0, 67.8253, 10.4051, 4.42175, 14.5782, 0, 0, 0, 33.0386, 0, 7.44771, 0, 0, 0, 0, 103.042, 0, 26.2686, 0, 0, 0, 0, 0, 7484.79, 0, 5336.09, 0, 0, 0
5289, 14671.1, -1311.85, 14671.1, 14729.6, 14369.8, 3041.52, 14369.8, 14688.1, 13.2147, 3.22328, 26.7438, 3.3777, 301.418, -862.813, 301.418, 1130.09, 173.052, -1225.56, 128.366, 362.742, 173.052, 131.52, 121.989, 179.429, 96.2697, 1.11672, 97.3864, 24.6025, 0, 0, 0, 0, 228.832, 13.207, 40.9303, 18.4486, 0, 0, 0, 84.8034, 13.207, 5.52994, 18.4486, 0, 0, 0, 41.719, 0, 9.34402, 0, 0, 0, 0, 102.31, 0, 26.0563, 0, 0, 0, 0, 0, 8388.99, 0, 5980.78, 0, 0, 0
5290, 16394.3, -854.811, 16394.3, 16416.6, 16050.8, 3360.19, 16050.8, 16398.7, 17.9903, 8.04119, 43.5617, 10.3613, 343.747, -751.891, 343.747, 1130.09, 216.532, -1111.38, 127.215, 359.486, 216.532, 131.52, 152.463, 191.284, 120.197, 1.37924, 121.576, 30.8865, 0, 0, 0, 0, 259.508, 16.5758, 44.4327, 23.2298, 0, 0, 0, 105.721, 16.5758, 6.93635, 23.2298, 0, 0, 0, 52.3676, 0, 11.7014, 0, 0, 0, 0, 101.42, 0, 25.795, 0, 0, 0, 0, 0, 9369.67, 0, 6681.12, 0, 0, 0
