[GENERAL]
DATE=March 18, 2015 at 10:28:30
CYME_VERSION=5.04
CYMDIST_REVISION=02

[SI]

[CUSTOMER CLASS]
FORMAT_CUSTOMERCLASS=ID,Description,Color,ConstantPower,ConstantCurrent,ConstantImpedance,UtilizationFactor,PowerFactor,MeteredLoads,NonMeteredLoads,LoadFactor,FrequencySensitivityP,FrequencySensitivityQ,EnableHarmonic,IsExponentialModel,ConstantImpedanceZP,ConstantImpedanceZQ,ConstantCurrentIP,ConstantCurrentIQ,ConstantPowerPP,ConstantPowerPQ,ExponentialModelP,ExponentialModelQ,LoadFlowVoltagePercentOfNominal,AdjustmentSettings,PowerCurveModel,PowerCurveModelId
Commercial,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
Industrial,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
Other,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
PrimaryMeter,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
Residential,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,


[LOADS]
FORMAT_LOADS=SectionID,DeviceNumber,LoadType,Connection,Location
GS93BK__2892079,GS93BK_2892079,SPOT,0,2
187M75__104868832,187M75_104868832,SPOT,0,2
HV16BK__2864181,HV16BK_2864181,SPOT,0,2
PGZ90__104110414,PGZ90_104110414,SPOT,0,2
GS68BK__2888697,GS68BK_2888697,SPOT,0,2
GS80BK__2864178,GS80BK_2864178,SPOT,0,2
GS71BK__2864177,GS71BK_2864177,SPOT,0,2
REC48__2841214,REC48_2841214,SPOT,0,2
11F134__2890567,11F134_2890567,SPOT,0,2
RE585__2889669,RE585_2889669,SPOT,0,2
REC46__2841215,REC46_2841215,SPOT,0,2
145754__103033621,145754_103033621,SPOT,0,2
GT17BK__2893176,GT17BK_2893176,SPOT,0,2
145754__103033582,145754_103033582,SPOT,0,2
GS83BK__2864179,GS83BK_2864179,SPOT,0,2
0360BK__2841221,0360BK_2841221,SPOT,0,2
RDZ75__2841220,RDZ75_2841220,SPOT,0,2
GS76BK__2864204,GS76BK_2864204,SPOT,0,2
GT20BK__2864180,GT20BK_2864180,SPOT,0,2
PGZ90__2887734,PGZ90_2887734,SPOT,0,2
PJ126__2892042,PJ126_2892042,SPOT,0,2
PJ126__2892041,PJ126_2892041,SPOT,0,2
144581__2895224,144581_2895224,SPOT,0,2
145754__103033616,145754_103033616,SPOT,0,2
145754__103033614,145754_103033614,SPOT,0,2
11F134__2890992,11F134_2890992,SPOT,0,2
11F134__2890993,11F134_2890993,SPOT,0,2
11F134__2890994,11F134_2890994,SPOT,0,2
MA843__2841234,MA843_2841234,SPOT,0,2
RD506__2864173,RD506_2864173,SPOT,0,2
11H260__2888026,11H260_2888026,SPOT,0,2

[CUSTOMER LOADS]
FORMAT_CUSTOMERLOADS=SectionID,DeviceNumber,LoadType,CustomerNumber,CustomerType,ConnectionStatus,LockDuringLoadAllocation,Year,LoadModelID,NormalPriority,EmergencyPriority,ValueType,LoadPhase,Value1,Value2,ConnectedKVA,KWH,NumberOfCustomer,CenterTapPercent
GS93BK__2892079,GS93BK_2892079,SPOT,GS93BK_2892079,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GS93BK__2892079,GS93BK_2892079,SPOT,GS93BK_2892079,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,25.000000,0.000000,2.000000,0.000000
GS93BK__2892079,GS93BK_2892079,SPOT,GS93BK_2892079,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,10.000000,0.000000,2.000000,0.000000
187M75__104868832,187M75_104868832,SPOT,187M75_104868832,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,250.000000,0.000000,0.333000,0.000000
187M75__104868832,187M75_104868832,SPOT,187M75_104868832,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,250.000000,0.000000,0.333000,0.000000
187M75__104868832,187M75_104868832,SPOT,187M75_104868832,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,250.000000,0.000000,0.333000,0.000000
HV16BK__2864181,HV16BK_2864181,SPOT,HV16BK_2864181,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,15.000000,0.000000,0.000000,0.000000
HV16BK__2864181,HV16BK_2864181,SPOT,HV16BK_2864181,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
HV16BK__2864181,HV16BK_2864181,SPOT,HV16BK_2864181,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
PGZ90__104110414,PGZ90_104110414,SPOT,PGZ90_104110414,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,25.000000,0.000000,0.333000,0.000000
PGZ90__104110414,PGZ90_104110414,SPOT,PGZ90_104110414,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,0.000000,0.000000,0.333000,0.000000
PGZ90__104110414,PGZ90_104110414,SPOT,PGZ90_104110414,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,0.000000,0.000000,0.333000,0.000000
GS68BK__2888697,GS68BK_2888697,SPOT,GS68BK_2888697,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GS68BK__2888697,GS68BK_2888697,SPOT,GS68BK_2888697,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,25.000000,0.000000,1.000000,0.000000
GS68BK__2888697,GS68BK_2888697,SPOT,GS68BK_2888697,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GS80BK__2864178,GS80BK_2864178,SPOT,GS80BK_2864178,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GS80BK__2864178,GS80BK_2864178,SPOT,GS80BK_2864178,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,25.000000,0.000000,0.000000,0.000000
GS80BK__2864178,GS80BK_2864178,SPOT,GS80BK_2864178,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GS71BK__2864177,GS71BK_2864177,SPOT,GS71BK_2864177,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GS71BK__2864177,GS71BK_2864177,SPOT,GS71BK_2864177,Other,0,0,2015,1,0,0,2,B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
GS71BK__2864177,GS71BK_2864177,SPOT,GS71BK_2864177,Other,0,0,2015,1,0,0,2,C,0.000000,0.000000,25.000000,0.000000,3.000000,0.000000
REC48__2841214,REC48_2841214,SPOT,REC48_2841214,Other,0,0,2015,1,0,0,2,A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
