[GENERAL]
DATE=March 18, 2015 at 10:28:30
CYME_VERSION=5.04
CYMDIST_REVISION=02

[SI]

[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY,TagText,TagProperties,TagDeltaX,TagDeltaY,TagAngle,TagAlignment,TagBorder,TagBackground,TagTextColor,TagBorderColor,TagBackgroundColor,TagLocation,TagFont,TagTextSize,TagOffset,ZoneID,ConnectedEquipType,ExposedCircuitType,BusGap,WorkingDistance,UseUserDefinedFaultCurrent,UserDefinedFaultCurrent,OpeningTimeMode,UserDefinedOpeningTime,OverrideLFVoltageLimit,HighVoltageLimit,LowVoltageLimit,LoadSheddingActive,MaximumLoadShed,ShedLoadCost,UserDefinedBaseVoltage
T5120B01_1,2342597.577000,12995260.419000,G3E_FID: 2843462#$%# G3E_FNO: 300#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
103332079,2341029.283073,12997238.564693,G3E_FID: 2890567#$%# G3E_FNO: 314#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
103332076,2341016.855000,12997231.553000,G3E_FID: 2890994#$%# G3E_FNO: 244#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
103332075,2341029.007000,12997241.606000,G3E_FID: 2890993#$%# G3E_FNO: 244#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
1823816,2342217.409376,12996157.473267,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1823817,2342215.099603,12996094.396967,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1823814,2342476.887435,12995642.890155,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1823815,2342473.266454,12995575.384739,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1823812,2342481.958891,12995688.416733,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1823813,2342456.969000,12995746.166000,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1823811,2342483.656640,12995752.081371,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
103060134,2340751.160500,12997853.447684,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1823850,2342211.309038,12995849.402888,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1823818,2342214.182516,12995992.529188,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1823819,2342109.998000,12996167.269000,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
26512068,2340752.537055,12997734.714229,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1765896,2341111.136812,12996181.008610,G3E_FID: 2864179#$%# G3E_FNO: 314#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
1765894,2341486.213591,12996175.340326,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1765895,2341860.490379,12996182.543759,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1765893,2341365.206654,12996180.663921,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1765890,2342003.519141,12996161.182324,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
27145134,2341025.567916,12997249.351376,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
26512066,2340752.395662,12997729.749447,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
26449578,2341027.819000,12997222.365000,G3E_FID: 2891001#$%# G3E_FNO: 297#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
103013278,2340754.412167,12997843.971146,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
26424757,2340761.419000,12997725.017000,G3E_FID: 2892038#$%# G3E_FNO: 297#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
103013370,2340739.298197,12997826.180162,G3E_FID: 103033582#$%# G3E_FNO: 244#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
103013371,2340751.072658,12997826.345999,G3E_FID: 103033614#$%# G3E_FNO: 244#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
26449576,2341018.581000,12997224.303000,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
26512070,2340746.929000,12997730.349000,G3E_FID: 2892041#$%# G3E_FNO: 244#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
27043849,2341199.140000,12996338.447000,G3E_FID: 2912107#$%# G3E_FNO: 322#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
27043772,2341124.948000,12996006.995000,G3E_FID: 2912030#$%# G3E_FNO: 322#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
103013238,2340755.448399,12997841.928413,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
103013239,2340757.878549,12997838.999026,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1992593,2341325.590000,12996179.631000,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1992590,2341243.190713,12996173.063894,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1992591,2341250.928000,12996181.104000,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1992554,2341257.654720,12996469.502664,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1992510,2341794.219000,12996178.816000,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1992511,2341865.447299,12996181.888820,G3E_FID: 2864181#$%# G3E_FNO: 314#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
1992553,2341257.467412,12996464.506174,G3E_FID: 2892079#$%# G3E_FNO: 314#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
1992550,2341255.656000,12996556.178000,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1992558,2341251.426796,12996303.371095,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
103013299,2340733.355434,12997833.646166,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
103013317,2340756.422622,12997833.573435,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
26259145,2340587.489188,12997517.953930,G3E_FID: 2888483#$%# G3E_FNO: 297#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
103013319,2340742.685595,12997831.536571,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
25028592,2341106.685440,12996169.299864,G3E_FID: 2868704#$%# G3E_FNO: 234#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
27043862,2341109.543000,12997539.710000,G3E_FID: 2912120#$%# G3E_FNO: 322#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
