[GENERAL]
DATE=March 18, 2015 at 10:28:30
CYME_VERSION=5.04
CYMDIST_REVISION=02

[SI]

[CONCENTRIC NEUTRAL CABLE]
FORMAT_CONCENTRICNEUTRALCABLE=ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,NumberOfPhases,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,PhaseCondID,NeutralCondID,NeutralWires,InsulationType,InsulationDielectricConst,InsulationDiameter,Dab,Dbc,Dac,RatedLevel,ContinuousTemperatureRating,SCCurrentTemperatureRating,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Comments
DEFAULT,0.172660,0.182193,0.099757,0.088150,409.200989,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
DISTRIBUTION_BUS,0.000621,0.000621,0.000621,0.000621,0.000621,0.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
NONE,0.000621,0.000621,0.000621,0.000621,0.000621,0.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_#1_AL_TRXLPE_D_B,0.577493,0.198650,0.979890,0.240426,27.545500,0.000000,162.000000,162.000000,162.000000,162.000000,162.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_#1_AL_TRXLPE_I_C,0.577493,0.198650,0.979890,0.240426,27.545500,0.000000,162.000000,162.000000,162.000000,162.000000,162.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_#2_AL_TRXLPE_D_B,0.658691,1.099810,0.125290,0.225561,1.295650,0.000000,105.000000,105.000000,105.000000,105.000000,105.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_#2_AL_TRXLPE_I_C,0.658691,1.099810,0.125290,0.225561,1.295650,0.000000,105.000000,105.000000,105.000000,105.000000,105.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_#2_AL-J_TRXLPE_D_B,0.947454,1.808770,0.097993,0.447492,27.157400,0.000000,182.000000,182.000000,182.000000,182.000000,182.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_#2_AL-J_TRXLPE_I_C,0.947454,1.808770,0.097993,0.447492,27.157400,0.000000,182.000000,182.000000,182.000000,182.000000,182.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_#2_CU_TRXLPE_D_B,0.477840,0.193939,0.804253,0.178765,36.131001,0.000000,160.000000,160.000000,160.000000,160.000000,160.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
