hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps)
0, 10.00000, 1928.15, 1517.17, 1354.35, 2.76974, 2.15546, 3.05858
0, 20.00000, 1928.3, 1517.6, 1354.21, 2.76933, 2.15443, 3.05881
0, 30.00000, 1928.42, 1518.03, 1354.02, 2.76912, 2.1534, 3.05909
0, 40.00000, 1916.4, 1508.88, 1345.29, 2.75174, 2.13895, 3.04044
0, 50.00000, 1904.36, 1499.7, 1336.53, 2.73446, 2.12455, 3.02184
0, 60.00000, 1904.35, 1499.99, 1336.15, 2.73481, 2.12383, 3.02241
0, 70.00000, 1904.32, 1500.27, 1335.69, 2.73527, 2.1231, 3.02308
0, 80.00000, 1904.43, 1500.74, 1335.48, 2.73517, 2.12198, 3.0234
0, 90.00000, 1904.48, 1501.19, 1335.19, 2.73536, 2.12091, 3.0238
0, 100.00000, 1904.5, 1501.59, 1334.84, 2.73565, 2.11994, 3.02431
0, 110.00000, 1904.48, 1501.97, 1334.38, 2.73612, 2.11901, 3.02497
0, 120.00000, 1904.41, 1502.3, 1333.89, 2.73688, 2.11818, 3.02566
0, 130.00000, 1904.31, 1502.61, 1333.34, 2.73774, 2.1174, 3.02646
0, 140.00000, 1904.35, 1503.11, 1333.01, 2.73804, 2.11623, 3.0269
0, 150.00000, 1904.35, 1503.58, 1332.65, 2.73854, 2.1151, 3.02739
0, 160.00000, 1904.3, 1504.01, 1332.23, 2.73922, 2.11408, 3.02797
0, 170.00000, 1904.24, 1504.41, 1331.74, 2.74, 2.1131, 3.02865
0, 180.00000, 1904.11, 1504.77, 1331.18, 2.74106, 2.11222, 3.02943
0, 190.00000, 1903.98, 1505.1, 1330.58, 2.74212, 2.11139, 3.03026
0, 200.00000, 1903.97, 1505.59, 1330.19, 2.74272, 2.11021, 3.03078
0, 210.00000, 1903.92, 1506.09, 1329.76, 2.74352, 2.10903, 3.03134
0, 220.00000, 1903.84, 1506.52, 1329.3, 2.7444, 2.10801, 3.03196
