
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                    Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

flay_ret_16271201         7.222      1.003    0.02875     0.3981   0.01381    0.1913
flay_ret_16271201_reg     7.446      1.034     0.0299     0.4015   0.01449    0.1946
259478708                 6.969      0.968          0          0         0         0
263960229                 6.969      0.968          0          0         0         0
260005788                 7.083     0.9839          0          0         0         0
261061097                 7.083     0.9838          0          0         0         0
258426039                 7.018     0.9747        0.1      1.425    0.1248     1.778
263395453                 7.031     0.9766          0          0         0         0
260663880                 7.031     0.9766          0          0         0         0
260664691                 7.111     0.9877          0          0         0         0
260664696                 7.111     0.9877          0          0         0         0
260662951                 6.923     0.9615          0          0         0         0
260662956                 6.922     0.9615          0          0         0         0
260663855                 7.108     0.9873          0          0         0         0
260663845                 7.108     0.9873          0          0         0         0
263395327                 7.109     0.9875          0          0         0         0
260663835                 7.109     0.9874          0          0         0         0
259577429                  7.12     0.9889    0.05436     0.7636     0.107     1.503
264148864                 7.124     0.9894          0          0         0         0
261434126                 7.122     0.9892          0          0         0         0
260663850                 7.109     0.9874          0          0         0         0
263395210                 7.103     0.9866          0          0         0         0
260663820                 7.103     0.9866          0          0         0         0
258425187                 7.103     0.9866          0          0         0         0
263395219                 7.103     0.9866          0          0         0         0
260663840                 7.109     0.9874          0          0         0         0
258425792                 7.104     0.9867    0.08691      1.224     0.118     1.661
263395399                 7.104     0.9867    0.08691      1.224     0.118     1.661
260662896                 7.119     0.9889          0          0         0         0
260662901                 7.119     0.9888          0          0         0         0
259577439                 7.118     0.9887    0.05459     0.7669    0.1056     1.483
264148846                 7.042     0.9782          0          0         0         0
261433681                 7.122     0.9892          0          0         0         0
261434117                 7.122     0.9892          0          0         0         0
261433676                 7.122     0.9892          0          0         0         0
261434092                 7.042     0.9781          0          0         0         0
263399247                 6.893     0.9574          0          0         0         0
260664721                 6.888     0.9568          0          0         0         0
258425177                 7.105     0.9869          0          0         0         0
263395201                 7.105     0.9869          0          0         0         0
260663810                 7.099     0.9861          0          0         0         0
260663790                 7.099      0.986          0          0         0         0
263399355                  6.91     0.9598          0          0         0         0
260664776                  6.91     0.9598          0          0         0         0
261433687                 7.043     0.9782          0          0         0         0
261433671                 7.042     0.9781          0          0         0         0
261434097                 7.042     0.9781          0          0         0         0
261433666                 7.042     0.9781          0          0         0         0
258443981                  6.91     0.9598          0          0         0         0
263399175                 7.113     0.9879          0          0         0         0
260664681                 7.112     0.9878          0          0         0         0
258443424                 6.975     0.9688     0.1059      1.518    0.1157     1.658
258443539                 6.893     0.9574          0          0         0         0
263399238                 6.893     0.9574          0          0         0         0
617401567                 7.125     0.9896          0          0         0         0
617401556                 7.124     0.9895          0          0         0         0
258443386                 6.994     0.9714     0.1036      1.481     0.124     1.773
263702144                 6.862      0.953          0          0         0         0
258443524                 6.945     0.9646      0.114      1.641    0.1083     1.559
263399220                 6.839       0.95          0          0         0         0
263399328                 6.924     0.9617          0          0         0         0
260664771                 6.924     0.9617          0          0         0         0
260972735                 6.861     0.9529          0          0         0         0
264353610                 7.122     0.9892          0          0         0         0
263399310                 6.926      0.962          0          0         0         0
260664766                 6.926      0.962          0          0         0         0
263399391                 7.193     0.9991          0          0         0         0
260664781                 7.193     0.9991          0          0         0         0
258443464                 6.962      0.967     0.1091      1.568     0.112     1.609
263399193                 6.934      0.963          0          0         0         0
260664716                 6.933      0.963          0          0         0         0
264353601                 7.042     0.9781          0          0         0         0
261433667                 7.042     0.9781          0          0         0         0
263981657                 6.997     0.9719          0          0         0         0
261266937                 6.997     0.9719          0          0         0         0
450041331                  6.88     0.9557          0          0         0         0
450041303                  6.88     0.9557          0          0         0         0
384331459                 6.873     0.9546          0          0         0         0
384331487                 6.873     0.9546          0          0         0         0
258425699                 7.206      1.001    0.06317     0.8767   0.09165     1.272
264146153                 7.245      1.006          0          0         0         0
261430842                 7.245      1.006          0          0         0         0
258406218                 7.041     0.9779          0          0         0         0
263391463                 7.041     0.9779          0          0         0         0
260662916                  7.04     0.9779          0          0         0         0
620861418                 6.996     0.9717    0.05444     0.7782    0.1397     1.997
620861448                 6.972     0.9684          0          0         0         0
258406550                 6.924     0.9617          0          0         0         0
263391562                 6.924     0.9617          0          0         0         0
260662946                 6.923     0.9616          0          0         0         0
263782338                 7.067     0.9816          0          0         0         0
