[GENERAL]
DATE=June 04, 2015 at 12:41:59
CYME_VERSION=7.10
CYMDIST_REVISION=05

[SI]

[CUSTOMER CLASS]
FORMAT_CUSTOMERCLASS=ID,DCCustomerType,Description,Color,ConstantPower,ConstantCurrent,ConstantImpedance,UtilizationFactor,PowerFactor,MeteredLoads,NonMeteredLoads,LoadFactor,FrequencySensitivityP,FrequencySensitivityQ,EnableHarmonic,IsExponentialModel,ConstantImpedanceZP,ConstantImpedanceZQ,ConstantCurrentIP,ConstantCurrentIQ,ConstantPowerPP,ConstantPowerPQ,ExponentialModelP,ExponentialModelQ,LoadFlowVoltagePercentOfNominal,LossesPerCustomer,ConnectedCenterTap1N,ConnectedCenterTap2N,AdjustmentSettings,PowerCurveModel,PowerCurveModelId
Commercial,0,,0,100.000000,0.000000,0.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,0.000000,50.000000,50.000000,,,
Industrial,0,,0,100.000000,0.000000,0.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,0.000000,50.000000,50.000000,,,
Residential,0,,0,100.000000,0.000000,0.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,0.000000,50.000000,50.000000,,,


[LOADS]
FORMAT_LOADS=SectionID,DeviceNumber,DeviceStage,LoadType,Connection,Location
259529048,40284064,,SPOT,0,2
258425095,40042101,,SPOT,0,2
258425013,40042077,,SPOT,0,2
261061101,41089472,,SPOT,0,2
258406116,40037773,,SPOT,0,2
258406196,40037799,,SPOT,0,2
258425018,40042079,,SPOT,0,2
263395456,40833636,,SPOT,0,2
258425195,40042127,,SPOT,0,2
258425115,40042095,,SPOT,0,2
260664694,40834220,,SPOT,0,2
258425110,40042093,,SPOT,0,2
263391394,40037745,,SPOT,0,2
263395258,40042149,,SPOT,0,2
263395375,40042257,,SPOT,0,2
263733249,40042225,,SPOT,0,2
258424972,40042069,,SPOT,0,2
258425875,40042316,,SPOT,0,2
259196721,40199826,,SPOT,0,2
263755760,40042147,,SPOT,0,2
263395411,40042300,,SPOT,0,2
259316802,40234488,,SPOT,0,2
263733348,40046596,,SPOT,0,2
263395231,40042125,,SPOT,0,2
263998654,40290401,,SPOT,0,2
258425975,40042339,,SPOT,0,2
258424957,40042067,,SPOT,0,2
263395339,40042227,,SPOT,0,2
260662954,40832960,,SPOT,0,2
260663858,40833624,,SPOT,0,2
263395330,40833608,,SPOT,0,2
258425850,40042308,,SPOT,0,2
259196788,40199906,,SPOT,0,2
264148867,41271981,,SPOT,0,2
260663853,40833620,,SPOT,0,2
263395213,40833596,,SPOT,0,2
263395294,40042199,,SPOT,0,2
259471074,40271302,,SPOT,0,2
258425955,40042330,,SPOT,0,2
258424937,40042065,,SPOT,0,2
263733321,40046672,,SPOT,0,2
615922971,40037879,,SPOT,0,2
258425950,40046577,,SPOT,0,2
258425835,40217207,,SPOT,0,2
263395312,40042209,,SPOT,0,2
263395393,40042285,,SPOT,0,2
260663838,40833612,,SPOT,0,2
260662899,40832916,,SPOT,0,2
263733285,40042061,,SPOT,0,2
259596202,40046709,,SPOT,0,2
261434125,41271977,,SPOT,0,2
258443662,40046555,,SPOT,0,2
261434120,41271969,,SPOT,0,2
258405871,40037717,,SPOT,0,2
264148849,41271653,,SPOT,0,2
258425935,40042326,,SPOT,0,2
258424991,40042071,,SPOT,0,2
259332453,40238268,,SPOT,0,2
259474277,40271925,,SPOT,0,2
263399250,40834236,,SPOT,0,2
258443762,40046592,,SPOT,0,2
258425890,40042318,,SPOT,0,2
258424998,40042073,,SPOT,0,2
260663813,40833592,,SPOT,0,2
263399358,40834276,,SPOT,0,2
261434105,41271957,,SPOT,0,2
258443642,40046553,,SPOT,0,2
259281206,40226193,,SPOT,0,2
261434100,41271949,,SPOT,0,2
258425997,40042345,,SPOT,0,2
263395195,40042087,,SPOT,0,2
258443467,40046509,,SPOT,0,2
258425915,40042320,,SPOT,0,2
263399178,40834208,,SPOT,0,2
258425910,40042324,,SPOT,0,2
258405956,40037737,,SPOT,0,2
258443747,40046586,,SPOT,0,2
491242325,188717070,,SPOT,0,2
258443742,40046584,,SPOT,0,2
259240616,40217506,,SPOT,0,2
258405951,40037735,,SPOT,0,2
258443627,40046567,,SPOT,0,2
617401571,366797900,,SPOT,0,2
258443622,40046549,,SPOT,0,2
258405831,40042243,,SPOT,0,2
258443447,40046571,,SPOT,0,2
263399331,40834272,,SPOT,0,2
263702147,41041648,,SPOT,0,2
491242306,40046685,,SPOT,0,2
263399295,40046582,,SPOT,0,2
258405896,40037727,,SPOT,0,2
258443547,40046533,,SPOT,0,2
258443542,40046531,,SPOT,0,2
258443602,40046545,,SPOT,0,2
258443682,40046559,,SPOT,0,2
258405891,40037723,,SPOT,0,2
259203779,40208771,,SPOT,0,2
263399313,40834268,,SPOT,0,2
258443365,40046489,,SPOT,0,2
258443360,40046493,,SPOT,0,2
259987103,40383820,,SPOT,0,2
263399394,40834280,,SPOT,0,2
258405916,40037729,,SPOT,0,2
258443784,40046598,,SPOT,0,2
258405991,40037743,,SPOT,0,2
259266157,40222981,,SPOT,0,2
263834526,40239080,,SPOT,0,2
259400476,40254647,,SPOT,0,2
258443522,40046527,,SPOT,0,2
258443789,40046600,,SPOT,0,2
258443487,40046515,,SPOT,0,2
258443345,40046485,,SPOT,0,2
258443405,40046501,,SPOT,0,2
258443400,40046499,,SPOT,0,2
699613273,40037703,,SPOT,0,2
263399196,40834232,,SPOT,0,2
258443507,40046519,,SPOT,0,2
258443582,40046551,,SPOT,0,2
259457130,40268156,,SPOT,0,2
264377514,40046674,,SPOT,0,2
258443380,40046573,,SPOT,0,2
259420317,40259746,,SPOT,0,2
259202599,40207392,,SPOT,0,2
258406665,40037897,,SPOT,0,2
258406660,40037895,,SPOT,0,2
263981660,41210144,,SPOT,0,2
450041335,138739160,,SPOT,0,2
258425668,40042269,,SPOT,0,2
258444242,40046723,,SPOT,0,2
258425765,40042287,,SPOT,0,2
261433670,41271953,,SPOT,0,2
259589129,40298700,,SPOT,0,2
258426067,40042361,,SPOT,0,2
258444167,40046695,,SPOT,0,2
258444227,40046717,,SPOT,0,2
258426062,40042355,,SPOT,0,2
258425648,40042271,,SPOT,0,2
258444162,40046693,,SPOT,0,2
258444222,40046715,,SPOT,0,2
258443864,40046616,,SPOT,0,2
264146156,41270045,,SPOT,0,2
259149275,40199904,,SPOT,0,2
258425743,40042281,,SPOT,0,2
258425566,40042231,,SPOT,0,2
263391466,40832928,,SPOT,0,2
258425748,40042283,,SPOT,0,2
258406568,40037875,,SPOT,0,2
258425561,40042229,,SPOT,0,2
258426047,40042353,,SPOT,0,2
258443964,40046636,,SPOT,0,2
258444147,40046687,,SPOT,0,2
258444207,40046707,,SPOT,0,2
258405665,40037695,,SPOT,0,2
258425628,40042253,,SPOT,0,2
258406448,40037845,,SPOT,0,2
