[GENERAL]
DATE=May 22, 2015 at 10:12:36
CYME_VERSION=5.04
CYMDIST_REVISION=03

[SI]

[CUSTOMER CLASS]
FORMAT_CUSTOMERCLASS=ID,Description,Color,ConstantPower,ConstantCurrent,ConstantImpedance,UtilizationFactor,PowerFactor,MeteredLoads,NonMeteredLoads,LoadFactor,FrequencySensitivityP,FrequencySensitivityQ,EnableHarmonic,IsExponentialModel,ConstantImpedanceZP,ConstantImpedanceZQ,ConstantCurrentIP,ConstantCurrentIQ,ConstantPowerPP,ConstantPowerPQ,ExponentialModelP,ExponentialModelQ,LoadFlowVoltagePercentOfNominal,AdjustmentSettings,PowerCurveModel,PowerCurveModelId
Commercial,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
Industrial,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
Other,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
PrimaryMeter,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
Residential,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,


[LOADS]
FORMAT_LOADS=SectionID,DeviceNumber,LoadType,Connection,Location
12116__2633487,12116_2633487,SPOT,0,2
7NX16__2654685,7NX16_2654685,SPOT,0,2
17KH67__104218229,17KH67_104218229,SPOT,0,2
G253K__2633500,G253K_2633500,SPOT,0,2
NV06__2635241,NV06_2635241,SPOT,0,2
14LH99__2680807,14LH99_2680807,SPOT,0,2
U498BH__2634398,U498BH_2634398,SPOT,0,2
7353K__2635246,7353K_2635246,SPOT,0,2
G259K__2633473,G259K_2633473,SPOT,0,2
B122K__2632717,B122K_2632717,SPOT,0,2
106797__2662470,106797_2662470,SPOT,0,2
11E479__2667681,11E479_2667681,SPOT,0,2
183Y96__104696221,183Y96_104696221,SPOT,0,2
183Y13__104695299,183Y13_104695299,SPOT,0,2
G255K__2633499,G255K_2633499,SPOT,0,2
106796__2662469,106796_2662469,SPOT,0,2
8R719__2657827,8R719_2657827,SPOT,0,2
A543BH__2634446,A543BH_2634446,SPOT,0,2
5DP96__2653504,5DP96_2653504,SPOT,0,2
18KP63__105820224,18KP63_105820224,SPOT,0,2
U586BH__2634420,U586BH_2634420,SPOT,0,2
144380__2678080,144380_2678080,SPOT,0,2
7NW83__2654656,7NW83_2654656,SPOT,0,2
U406BH__2634365,U406BH_2634365,SPOT,0,2
17MN18__104282528,17MN18_104282528,SPOT,0,2
A452K__2632719,A452K_2632719,SPOT,0,2
U764BH__2633401,U764BH_2633401,SPOT,0,2
144381__2678078,144381_2678078,SPOT,0,2
C1F95__2633417,C1F95_2633417,SPOT,0,2
14L345__2680576,14L345_2680576,SPOT,0,2
D112K__2633462,D112K_2633462,SPOT,0,2
0M737__2633426,0M737_2633426,SPOT,0,2
8DR41__2657053,8DR41_2657053,SPOT,0,2
9WA92__2663191,9WA92_2663191,SPOT,0,2
PBB36__2635209,PBB36_2635209,SPOT,0,2
132359__2673910,132359_2673910,SPOT,0,2
9WA93__2663190,9WA93_2663190,SPOT,0,2
U880BH__2632712,U880BH_2632712,SPOT,0,2
8DR47__2657052,8DR47_2657052,SPOT,0,2
8DT82__2657110,8DT82_2657110,SPOT,0,2
132364__2673920,132364_2673920,SPOT,0,2
14L341__2680572,14L341_2680572,SPOT,0,2
144378__2678084,144378_2678084,SPOT,0,2
18GC40__105325982,18GC40_105325982,SPOT,0,2
17Q660__104378557,17Q660_104378557,SPOT,0,2
7MX03__2656002,7MX03_2656002,SPOT,0,2
17KH66__104218227,17KH66_104218227,SPOT,0,2
7MX02__2656003,7MX02_2656003,SPOT,0,2
14Q054__103041304,14Q054_103041304,SPOT,0,2
17MN22__104282536,17MN22_104282536,SPOT,0,2
132365__2673918,132365_2673918,SPOT,0,2
7MX01__2656001,7MX01_2656001,SPOT,0,2
132361__2673916,132361_2673916,SPOT,0,2
132356__2673904,132356_2673904,SPOT,0,2
2YV80__2634423,2YV80_2634423,SPOT,0,2
6TD35__2665987,6TD35_2665987,SPOT,0,2
13PX85__2676811,13PX85_2676811,SPOT,0,2
7378K__2634464,7378K_2634464,SPOT,0,2
17DH84__104079474,17DH84_104079474,SPOT,0,2
183Y12__104695294,183Y12_104695294,SPOT,0,2
7372K__2634473,7372K_2634473,SPOT,0,2
7BE81__2654340,7BE81_2654340,SPOT,0,2
ABE44K__2634434,ABE44K_2634434,SPOT,0,2
13PX84__2676809,13PX84_2676809,SPOT,0,2
183Y95__104696226,183Y95_104696226,SPOT,0,2
7139K__2633411,7139K_2633411,SPOT,0,2
13PX80__2676801,13PX80_2676801,SPOT,0,2
U339BH__2665162,U339BH_2665162,SPOT,0,2
U758BH__2633423,U758BH_2633423,SPOT,0,2
18KP62__105820222,18KP62_105820222,SPOT,0,2
7NX60__2654661,7NX60_2654661,SPOT,0,2
U774BH__2633404,U774BH_2633404,SPOT,0,2
119P96__2667830,119P96_2667830,SPOT,0,2
15TN74__103913537,15TN74_103913537,SPOT,0,2
102L16__2661144,102L16_2661144,SPOT,0,2
7NX02__2654658,7NX02_2654658,SPOT,0,2
7WL56__2656215,7WL56_2656215,SPOT,0,2
7WL57__2656216,7WL57_2656216,SPOT,0,2
A538BH__2634444,A538BH_2634444,SPOT,0,2
U551BH__2634412,U551BH_2634412,SPOT,0,2
U878BH__2632710,U878BH_2632710,SPOT,0,2
U876BH__2632721,U876BH_2632721,SPOT,0,2
133Y84__2674173,133Y84_2674173,SPOT,0,2
D104K__2633491,D104K_2633491,SPOT,0,2
13PX79__2676797,13PX79_2676797,SPOT,0,2
7WL54__2656217,7WL54_2656217,SPOT,0,2
U870BH__2632715,U870BH_2632715,SPOT,0,2
NV02BH__2634458,NV02BH_2634458,SPOT,0,2
14Q053__103041283,14Q053_103041283,SPOT,0,2
A466K__2633453,A466K_2633453,SPOT,0,2
U491BH__2634395,U491BH_2634395,SPOT,0,2
G254K__2633501,G254K_2633501,SPOT,0,2
7354K__2635247,7354K_2635247,SPOT,0,2
8R721__2657826,8R721_2657826,SPOT,0,2
18GE31__105436270,18GE31_105436270,SPOT,0,2
13PX86__2676783,13PX86_2676783,SPOT,0,2
17KH65__104218225,17KH65_104218225,SPOT,0,2
132352__2673896,132352_2673896,SPOT,0,2
5N331__2634475,5N331_2634475,SPOT,0,2
G252K__2633497,G252K_2633497,SPOT,0,2
NV08__2634460,NV08_2634460,SPOT,0,2
13PX88__2676766,13PX88_2676766,SPOT,0,2
12AK64__2671225,12AK64_2671225,SPOT,0,2
7233K__2634471,7233K_2634471,SPOT,0,2
13PX97__2676775,13PX97_2676775,SPOT,0,2
6TE33__2655982,6TE33_2655982,SPOT,0,2
6TE35__2655984,6TE35_2655984,SPOT,0,2
8EK63__2659232,8EK63_2659232,SPOT,0,2
B328K__2633437,B328K_2633437,SPOT,0,2
13PX92__2676781,13PX92_2676781,SPOT,0,2
6TE32__2655981,6TE32_2655981,SPOT,0,2
13L572__2676139,13L572_2676139,SPOT,0,2
13L576__2676133,13L576_2676133,SPOT,0,2
8EK62__2659231,8EK62_2659231,SPOT,0,2
6TE37__2655986,6TE37_2655986,SPOT,0,2
6TE34__2655983,6TE34_2655983,SPOT,0,2
6TE36__2655985,6TE36_2655985,SPOT,0,2
U561BH__2634416,U561BH_2634416,SPOT,0,2
14L465__2680578,14L465_2680578,SPOT,0,2
6TE39__2655987,6TE39_2655987,SPOT,0,2
8EK67__2659236,8EK67_2659236,SPOT,0,2
7NW93__2654657,7NW93_2654657,SPOT,0,2
PBB38__2634447,PBB38_2634447,SPOT,0,2
106804__2662461,106804_2662461,SPOT,0,2
U489BH__2634394,U489BH_2634394,SPOT,0,2
8EK64__2659233,8EK64_2659233,SPOT,0,2
8EK66__2659235,8EK66_2659235,SPOT,0,2
18KP61__105820220,18KP61_105820220,SPOT,0,2
8EK65__2659234,8EK65_2659234,SPOT,0,2
U761BH__2633424,U761BH_2633424,SPOT,0,2
18NP34__106231436,18NP34_106231436,SPOT,0,2
D113K__2633461,D113K_2633461,SPOT,0,2
17MN16__104282524,17MN16_104282524,SPOT,0,2
U789BH__2633428,U789BH_2633428,SPOT,0,2
106800__2662465,106800_2662465,SPOT,0,2
8DT92__2657078,8DT92_2657078,SPOT,0,2
132416__2673923,132416_2673923,SPOT,0,2
8DT91__2657079,8DT91_2657079,SPOT,0,2
U881BH__2632711,U881BH_2632711,SPOT,0,2
9W758__2662747,9W758_2662747,SPOT,0,2
A457K__2633450,A457K_2633450,SPOT,0,2
D115K__2633459,D115K_2633459,SPOT,0,2
A455K__2633480,A455K_2633480,SPOT,0,2
14L468__2680589,14L468_2680589,SPOT,0,2
8DR55__2657051,8DR55_2657051,SPOT,0,2
A473K__2633478,A473K_2633478,SPOT,0,2
8DR36__2657904,8DR36_2657904,SPOT,0,2
18GC33__105325970,18GC33_105325970,SPOT,0,2
183Y08__104695269,183Y08_104695269,SPOT,0,2
17KH64__104218223,17KH64_104218223,SPOT,0,2
126696__2670647,126696_2670647,SPOT,0,2
17MN20__104282532,17MN20_104282532,SPOT,0,2
14FX05__2680012,14FX05_2680012,SPOT,0,2
183Y93__104696244,183Y93_104696244,SPOT,0,2
