
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

t4795b23_1             13.8      1.045    0.07035       0.51    0.3348     2.427
t4795b23_1_reg        13.63      1.033     0.2042      1.497    0.2045       1.5
103651947              13.6       1.03          0          0         0         0
103527267             4.388     0.3323      4.388        100     4.826       110
26991515              4.405     0.3336      4.405        100     4.846       110
26991512              4.405     0.3336      4.405        100     4.846       110
103125599             4.402     0.3334      4.402        100     4.842       110
27136877              4.402     0.3334      4.402        100     4.842       110
103048714             4.389     0.3324      4.389        100     4.828       110
103048715             4.389     0.3324      4.389        100     4.828       110
103543472             4.395     0.3329      4.395        100     4.835       110
t4795b23_10000049     13.62      1.032          0          0         0         0
103265150             4.387     0.3323      4.387        100     4.826       110
103265149             4.387     0.3323      4.387        100     4.826       110
27136728              4.377     0.3315      4.377        100     4.815       110
27136701              4.377     0.3315      4.377        100     4.815       110
103121474             13.64      1.033     0.2154       1.58    0.2344     1.718
103121475             13.64      1.033     0.2154       1.58    0.2344     1.718
103041881             13.63      1.032      0.213      1.562    0.2294     1.683
103413875             13.65      1.034          0          0         0         0
103543441             13.62      1.032          0          0         0         0
103543459             4.395     0.3329      4.395        100     4.835       110
27136777              4.393     0.3327      4.393        100     4.832       110
27136765              4.393     0.3327      4.393        100     4.832       110
27136666              4.385     0.3321      4.385        100     4.824       110
27136663              4.385     0.3321      4.385        100     4.824       110
26999465              4.391     0.3326      4.391        100      4.83       110
26999474              4.391     0.3325      4.391        100      4.83       110
25631624              13.61      1.031     0.2276      1.672    0.2568     1.887
26999871              4.384      0.332      4.384        100     4.822       110
25429365              4.395     0.3329      4.395        100     4.835       110
27135962              4.395     0.3329      4.395        100     4.835       110
27000196              4.385     0.3321      4.385        100     4.823       110
27000199              4.385     0.3321      4.385        100     4.823       110
25631627              13.61      1.031     0.2276      1.673     0.257     1.889
26999873              4.378     0.3315      4.378        100     4.816       110
26709862              13.61      1.031     0.2266      1.665    0.2543     1.869
27000178              4.379     0.3316      4.379        100     4.817       110
103048712             4.401     0.3333      4.401        100     4.841       110
103048711             4.401     0.3333      4.401        100     4.841       110
103626617             4.386     0.3322      4.386        100     4.825       110
103626615             4.386     0.3322      4.386        100     4.825       110
25360359              13.64      1.033     0.2158      1.582    0.2349     1.722
27136932              4.549     0.3446      4.549        100     4.549       100
27136887              4.394     0.3328      4.394        100     4.833       110
27136890              4.394     0.3327      4.394        100     4.833       110
26999477              13.61      1.031     0.2185      1.606    0.2316     1.702
26755991               13.6       1.03          0          0         0         0
103121256             4.406     0.3337      4.406        100     4.847       110
27137027              13.66      1.034          0          0         0         0
27136524              4.397      0.333      4.397        100     4.837       110
27136494              4.397      0.333      4.397        100     4.837       110
103121503             13.64      1.033     0.2154       1.58    0.2344     1.718
27136946              4.402     0.3334      4.402        100     4.842       110
27136721              4.375     0.3313      4.375        100     4.812       110
27137278              4.375     0.3313      4.375        100     4.812       110
1140122               13.61      1.031     0.2201      1.617    0.2342      1.72
26999161              4.402     0.3334      4.402        100     4.843       110
103537136             13.64      1.033          0          0         0         0
103536814             4.401     0.3333      4.401        100     4.841       110
27000186              4.408     0.3338      4.408        100     4.849       110
27000189              4.408     0.3338      4.408        100     4.849       110
26999354              4.406     0.3337      4.406        100     4.847       110
26999350              4.406     0.3337      4.406        100     4.846       110
103651945             13.64      1.033          0          0         0         0
103529698             4.399     0.3332      4.399        100     4.839       110
103016792             13.62      1.032     0.2068      1.518    0.2085     1.531
103016797             13.62      1.032     0.2068      1.518    0.2085     1.531
27000202              4.384      0.332      4.384        100     4.823       110
27000205              4.384      0.332      4.384        100     4.822       110
103016794             13.62      1.032     0.2068      1.518    0.2085     1.531
103294963             13.62      1.032     0.2068      1.518    0.2085     1.531
103649883                 0          0          0          0         0         0
103649893                 0          0          0          0         0         0
103294961             13.62      1.032     0.2068      1.518    0.2085     1.531
103016793             13.62      1.032     0.2068      1.518    0.2085     1.531
27000112              4.379     0.3316      4.379        100     4.817       110
27000204              4.379     0.3316      4.379        100     4.817       110
27146931              13.62      1.032     0.2066      1.516     0.207      1.52
27146927              13.62      1.032     0.2066      1.516     0.207      1.52
27136875              4.402     0.3334      4.402        100     4.843       110
27136871              4.402     0.3334      4.402        100     4.843       110
27137075              4.393     0.3327      4.393        100     4.833       110
27137078              4.393     0.3327      4.393        100     4.833       110
27136948              4.402     0.3334      4.402        100     4.842       110
27136951              4.402     0.3334      4.402        100     4.842       110
