[GENERAL]
DATE=May 26, 2015 at 10:38:55
CYME_VERSION=5.04
CYMDIST_REVISION=02

[SI]

[CUSTOMER CLASS]
FORMAT_CUSTOMERCLASS=ID,Description,Color,ConstantPower,ConstantCurrent,ConstantImpedance,UtilizationFactor,PowerFactor,MeteredLoads,NonMeteredLoads,LoadFactor,FrequencySensitivityP,FrequencySensitivityQ,EnableHarmonic,IsExponentialModel,ConstantImpedanceZP,ConstantImpedanceZQ,ConstantCurrentIP,ConstantCurrentIQ,ConstantPowerPP,ConstantPowerPQ,ExponentialModelP,ExponentialModelQ,LoadFlowVoltagePercentOfNominal,AdjustmentSettings,PowerCurveModel,PowerCurveModelId
Commercial,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
Industrial,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
Other,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
PrimaryMeter,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
Residential,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,


[LOADS]
FORMAT_LOADS=SectionID,DeviceNumber,LoadType,Connection,Location
6RR64__2483497,6RR64_2483497,SPOT,0,2
E0X32__2562517,E0X32_2562517,SPOT,0,2
E1668__2568994,E1668_2568994,SPOT,0,2
EW604__2571108,EW604_2571108,SPOT,0,2
E1186__2562275,E1186_2562275,SPOT,0,2
EW629__2571112,EW629_2571112,SPOT,0,2
8E296__2480218,8E296_2480218,SPOT,0,2
E3R48__2569419,E3R48_2569419,SPOT,0,2
EXF90__2588698,EXF90_2588698,SPOT,0,2
EZF00__2562828,EZF00_2562828,SPOT,0,2
E2N22__2584665,E2N22_2584665,SPOT,0,2
EZF89__2562665,EZF89_2562665,SPOT,0,2
E0Z59__2587729,E0Z59_2587729,SPOT,0,2
E2J00__2569271,E2J00_2569271,SPOT,0,2
E3Y99__2563074,E3Y99_2563074,SPOT,0,2
E8J46__2474798,E8J46_2474798,SPOT,0,2
EZZ79__2474652,EZZ79_2474652,SPOT,0,2
E2J06__2569273,E2J06_2569273,SPOT,0,2
E0X35__2562518,E0X35_2562518,SPOT,0,2
E1010__103039363,E1010_103039363,SPOT,0,2
E2M88__2569318,E2M88_2569318,SPOT,0,2
E1030__2470386,E1030_2470386,SPOT,0,2
E2J04__2569272,E2J04_2569272,SPOT,0,2
E0P04__2573311,E0P04_2573311,SPOT,0,2
E3W18__2562998,E3W18_2562998,SPOT,0,2
E0X48__2562377,E0X48_2562377,SPOT,0,2
EW267__2563014,EW267_2563014,SPOT,0,2
E1026__2562548,E1026_2562548,SPOT,0,2
EZF83__2562664,EZF83_2562664,SPOT,0,2
E1032__2470387,E1032_2470387,SPOT,0,2
E3Y93__2563070,E3Y93_2563070,SPOT,0,2
E2N59__2563093,E2N59_2563093,SPOT,0,2
EW266__2563013,EW266_2563013,SPOT,0,2
E0P08__2562277,E0P08_2562277,SPOT,0,2
E0P85__2561990,E0P85_2561990,SPOT,0,2
