Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"T5240B12_1", 22.87, 1,      13748,   -1.7,    1.0412, 2,    13792.3, -122.1,    1.0446, 3,    13819.8,  118.2,    1.0466
"T5240B12_1_REG", 22.87, 1,    13676.9,   -1.9,    1.0358, 2,    13635.7, -122.3,    1.0327, 3,    13662.4,  118.0,    1.0347
"26983094", 22.87, 1,    440.025, -122.7,  0.033325, 2,    13640.8, -122.7,    1.0331, 3,    440.025, -122.7,  0.033325
"26983092", 22.87, 1,    440.042, -122.7,  0.033326, 2,    13640.8, -122.7,    1.0331, 3,    440.042, -122.7,  0.033326
"25719943", 22.87, 1,      13425,   -5.5,    1.0167, 2,    433.146,   -5.4,  0.032804, 3,    433.146,   -5.4,  0.032804
"26976543", 22.87, 1,    13424.9,   -5.5,    1.0167, 2,     433.06,   -5.5,  0.032798, 3,     433.06,   -5.5,  0.032798
"26981034", 22.87, 1,    439.651, -123.9,  0.033297, 2,    13627.9, -123.9,    1.0321, 3,    439.651, -123.9,  0.033297
"103574346", 22.87, 1,    439.605, -123.9,  0.033293, 2,    13627.8, -123.9,    1.0321, 3,    439.605, -123.9,  0.033293
"26977934", 22.87, 1,    439.121, -125.1,  0.033257, 2,    13612.8, -125.1,     1.031, 3,    439.121, -125.1,  0.033257
"26977932", 22.87, 1,    439.201, -125.1,  0.033263, 2,    13612.7, -125.1,    1.0309, 3,    439.201, -125.1,  0.033263
"103344435", 22.87, 1,    442.441,  116.4,  0.033508, 2,    442.441,  116.4,  0.033508, 3,    13713.1,  116.3,    1.0386
"26980926", 22.87, 1,     442.44,  116.4,  0.033508, 2,     442.44,  116.4,  0.033508, 3,    13713.1,  116.3,    1.0386
"26976581", 22.87, 1,    13403.7,   -5.5,    1.0151, 2,    432.418,   -5.5,  0.032749, 3,    432.418,   -5.5,  0.032749
"26976554", 22.87, 1,    13403.6,   -5.5,    1.0151, 2,    432.373,   -5.5,  0.032746, 3,    432.414,   -5.5,  0.032749
"26328210", 22.87, 1,    13667.6,   -3.9,    1.0351, 2,    13737.1, -124.1,    1.0404, 3,    13687.5,  116.4,    1.0366
"26979400", 22.87, 1,    13667.5,   -3.9,    1.0351, 2,      13737, -124.1,    1.0404, 3,    13687.4,  116.4,    1.0366
"103395456", 22.87, 1,    439.633, -125.2,  0.033295, 2,    13628.7, -125.2,    1.0322, 3,    439.633, -125.2,  0.033295
"26977925", 22.87, 1,    439.717, -125.1,  0.033302, 2,    13628.7, -125.2,    1.0322, 3,    439.717, -125.1,  0.033302
"26980998", 22.87, 1,    439.529, -124.0,  0.033288, 2,    13625.5, -124.0,    1.0319, 3,    439.529, -124.0,  0.033288
"26980996", 22.87, 1,    439.614, -123.9,  0.033294, 2,    13625.5, -124.0,    1.0319, 3,    439.614, -123.9,  0.033294
"26983111", 22.87, 1,    441.697,  116.9,  0.033452, 2,    441.697,  116.9,  0.033452, 3,    13692.7,  116.9,     1.037
"26981048", 22.87, 1,    441.778,  116.9,  0.033458, 2,    441.778,  116.9,  0.033458, 3,    13692.6,  116.9,     1.037
"26976553", 22.87, 1,    13403.7,   -5.5,    1.0151, 2,    432.376,   -5.5,  0.032746, 3,    432.376,   -5.5,  0.032746
"26976580", 22.87, 1,    13403.7,   -5.5,    1.0151, 2,    432.418,   -5.5,  0.032749, 3,    432.418,   -5.5,  0.032749
"1713373", 22.87, 1,    440.219, -123.9,   0.03334, 2,    13644.2, -123.9,    1.0333, 3,    440.219, -123.9,   0.03334
"26980995", 22.87, 1,    440.218, -123.9,   0.03334, 2,    13644.2, -123.9,    1.0333, 3,    440.218, -123.9,   0.03334
"26976579", 22.87, 1,    13403.7,   -5.5,    1.0151, 2,    432.376,   -5.5,  0.032746, 3,    432.376,   -5.5,  0.032746
"26976575", 22.87, 1,    13403.7,   -5.5,    1.0151, 2,    432.375,   -5.5,  0.032746, 3,    432.375,   -5.5,  0.032746
"26983108", 22.87, 1,    441.745,  116.9,  0.033455, 2,    441.745,  116.9,  0.033455, 3,    13692.9,  116.9,     1.037
"26983112", 22.87, 1,    441.697,  116.9,  0.033452, 2,    441.697,  116.9,  0.033452, 3,    13692.7,  116.9,     1.037
