'00_1',111.5,64
'01_1',111,64
'01_2',108,64
'02_1',104.5,64
'02_2',101,64
'03_1',101,57
'03_2',101,54
'04_1',101,49.5
'04_2',101,47
'05_1',101,42
'05_2',101,31
'06_1',101,21
'25_1',105,21
'25_2',109,21
'06_2',101,9
'26_1',101,3
'26_2',101,0
'06_3',88,9
'07_1',83,9
'07_2',83,12
'08_1',83,18
'08_a1',70.5,18
'09_1',68,18
'09_2',67.999,18
'09_3',58,18
'10_1',55.5,18
'10_2',52.5,18
'11_1',44,18
'11_b1',44,23
'24_1',44,28
'24_2',44,33
'24_3',44,34
'11_a1',37,18
'12_1',30,18
'12_2',16,18
'13_1',12,18
'08_b1',83,27.5
'14_1',83,30.5
'14_2',83,35
'15_1',83,39.5
'15_a1',74,39.5
'27_1',72.5,39.5
'15_b1',83,41.5
'16_1',83,44
'16_2',83,47.5
'17_1',83,50
'17_2',83,50.001
'17_3',73,61
'18_1',67,61
'18_a1',67,67
'28_1',67,71
'18_b1',60,51
'19_1',55,51
'19_2',54.999,51
'19_3',41,51
'20_1',39,51
'20_2',25,51
'20_a1',25,41
'29_1',25,38
'20_b1',25,57.5
'21_1',25,60
'21_2',25,62
'21_3',25,68
'21_4',17,68
'21_5',11,68
'22_1',10,68
'22_2',9,68
'22_a1',7,63
'22_a2',7,62
'22_b1',2,68
'22_b2',0,68
'20_c1',14,51
'20_c2',4,51
'23_1',1,51
