'00_1',0.5,0,,111.5,64
'01_1',1,0,,111,64
'01_2',4,0,,108,64
'02_1',7.5,0,,104.5,64
'02_2',11,0,,101,64
'03_1',11,7,,101,57
'03_2',11,10,,101,54
'04_1',11,14.5,,101,49.5
'04_2',11,17,,101,47
'05_1',11,22,,101,42
'05_2',11,33,,101,31
'06_1',11,43,,101,21
'25_1',7,43,,105,21
'25_2',3,43,,109,21
'06_2',11,55,,101,9
'26_1',11,61,,101,3
'26_2',11,64,,101,0
'06_3',24,55,,88,9
'07_1',29,55,,83,9
'07_2',29,52,,83,12
'08_1',29,46,,83,18
'08_a1',41.5,46,,70.5,18
'09_1',44,46,,68,18
'09_2',44.001,46,,67.999,18
'09_3',54,46,,58,18
'10_1',56.5,46,,55.5,18
'10_2',59.5,46,,52.5,18
'11_1',68,46,,44,18
'11_b1',68,41,,44,23
'24_1',68,36,,44,28
'24_2',68,31,,44,33
'24_3',68,30,,44,34
'11_a1',75,46,,37,18
'12_1',82,46,,30,18
'12_2',96,46,,16,18
'13_1',100,46,,12,18
'08_b1',29,36.5,,83,27.5
'14_1',29,33.5,,83,30.5
'14_2',29,29,,83,35
'15_1',29,24.5,,83,39.5
'15_a1',38,24.5,,74,39.5
'27_1',39.5,24.5,,72.5,39.5
'15_b1',29,22.5,,83,41.5
'16_1',29,20,,83,44
'16_2',29,16.5,,83,47.5
'17_1',29,14,,83,50
'17_2',29,13.999,,83,50.001
'17_3',39,3,,73,61
'18_1',45,3,,67,61
'18_a1',45,-3,,67,67
'28_1',45,-7,,67,71
'18_b1',52,13,,60,51
'19_1',57,13,,55,51
'19_2',57.001,13,,54.999,51
'19_3',71,13,,41,51
'20_1',73,13,,39,51
'20_2',87,13,,25,51
'20_a1',87,23,,25,41
'29_1',87,26,,25,38
'20_b1',87,6.5,,25,57.5
'21_1',87,4,,25,60
'21_2',87,2,,25,62
'21_3',87,-4,,25,68
'21_4',95,-4,,17,68
'21_5',101,-4,,11,68
'22_1',102,-4,,10,68
'22_2',103,-4,,9,68
'22_a1',105,1,,7,63
'22_a2',105,2,,7,62
'22_b1',110,-4,,2,68
'22_b2',112,-4,,0,68
'20_c1',98,13,,14,51
'20_c2',108,13,,4,51
'23_1',111,13,,1,51
