NODE_ID,CYME_X,CYME_Y,LAT,LONG
'258850608',278675.02,-244976.86,35.27274867,-80.90924151
'260987679',278974.16,-245644.14,35.2670451,-80.90589194
'263511745',278256.09,-243926.6,35.28172577,-80.9139324
'258840107',279914.63,-244388.98,35.27777358,-80.89536118
'258840012',279556.21,-244148.89,35.27982575,-80.89937453
'260784310',277959.46,-245785.32,35.26583836,-80.91725387
'263514877',278701.71,-245646.99,35.26702074,-80.90894265
'259005046',278128.74,-245118.66,35.27153664,-80.91535838
'260784250',278013.54,-245612.94,35.26731178,-80.91664831
'263514814',278749.33,-244979.71,35.27272431,-80.90840943
'259005031',278009.94,-245128.71,35.27145074,-80.91668863
'260745427',278641.34,-244111.28,35.28014722,-80.90961863
'263661076',277830.33,-245093.65,35.27175041,-80.91869978
'258850953',278417.59,-245183.88,35.27097917,-80.91212403
'258840235',278659.97,-243942.35,35.28159115,-80.90941003
'259357184',277866.43,-244193.45,35.27944487,-80.91829555
'258839990',279397.85,-244025.38,35.28088145,-80.90114774
'263515066',278451.41,-244139.77,35.2799037,-80.91174534
'260745402',278282.33,-245246.81,35.27044128,-80.91363858
'258851103',278463.77,-244212.93,35.27927836,-80.91160694
'263511691',279658.38,-244246.26,35.27899348,-80.8982305
'258850675',278595.2,-245656.7,35.26693774,-80.91013528
'258850549',278394.01,-245043.58,35.27217838,-80.91238807
'263515120',278493.01,-244239.83,35.27904844,-80.91127953
'258851180',278686.77,-244420.86,35.27750108,-80.90910994
'258851442',279316.13,-244359.24,35.27802778,-80.90206279
'258839835',279623.33,-243865.08,35.28225161,-80.89862297
'260972081',279422.48,-244370.96,35.2779276,-80.90087195
'260784275',277880.3,-245572.04,35.26766137,-80.91814025
'260784305',277905.79,-245770.09,35.26596854,-80.91785483
'261002696',277654.55,-245675.18,35.26677978,-80.92066804
'258851452',279196.77,-243845.59,35.2824182,-80.9033993
'258851476',278987.36,-243697.35,35.28368528,-80.90574413
'472684279',277607.01,-244628.09,35.27572978,-80.92120037
'258840297',278071.08,-243961.49,35.28142755,-80.91600402
'260784240',277884.47,-244990.14,35.27263516,-80.91809355
'259004984',277817.21,-245663.53,35.26687936,-80.91884669
'258851432',279109.65,-244569.39,35.27623152,-80.90437481
'258851175',278690.12,-244341.17,35.27818223,-80.90907243
'258851049',278092.16,-244305.45,35.27848755,-80.91576798
'258851004',278350.97,-245203.21,35.27081395,-80.91287
'264494227',278109.1,-243965.49,35.28139336,-80.9155783
'261002716',277754.34,-245633.01,35.26714023,-80.91955066
'258851365',279246.32,-244119.08,35.28008055,-80.90284447
'258851054',278248.82,-243877.44,35.28214596,-80.91401381
'261002695',277670.47,-245687.88,35.26667123,-80.92048978
'258839911',279026.5,-243623.07,35.28432019,-80.90530587
'258840093',279885.34,-244434.49,35.27738458,-80.89568915
'258840247',278486.87,-243917.18,35.28180629,-80.91134828
'258851446',279405.35,-244183.05,35.27953376,-80.90106376
'260784315',277980.8,-245756.9,35.26608128,-80.91701492
'263515039',278248.56,-243859.74,35.28229726,-80.91401672
'258840287',278128.99,-243968.12,35.28137088,-80.91535558
'258840257',278351.73,-243900.11,35.28195219,-80.91286149
'263515048',278438.77,-244064.58,35.28054639,-80.91188687
'472683990',278055.61,-244309.57,35.27845233,-80.91617724
'258840178',279271.15,-244085.44,35.28036808,-80.90256644
'460932367',277857.83,-244196.54,35.27941846,-80.91839185
'260745311',278758.48,-245172.28,35.27107832,-80.90830698
'259237110',277773.54,-245759.26,35.26606111,-80.91933567
'258840262',278320.1,-243914.6,35.28182834,-80.91321566
'260745346',278968.37,-245636.87,35.26710724,-80.90595677
'258850960',278490.51,-245150.24,35.27126671,-80.91130752
'258840346',277923.82,-244088.1,35.28034535,-80.91765294
'258840479',278275.62,-244768.51,35.27452954,-80.91371372
'460932491',278202.39,-244429.19,35.27742988,-80.9145337
'264494190',279452.58,-244064.89,35.28054374,-80.90053491
'263515030',278091.33,-244322.26,35.27834387,-80.91577727
'261002710',277686.28,-245577.49,35.26761479,-80.92031275
