NODE_ID,CYME_X,CYME_Y,LAT,LONG
'261302045',289231.66,-251292.53,35.21329227,-80.7948203
'258907693',290738.2,-250915.74,35.21662475,-80.77799093
'258908474',289126.18,-251396.65,35.21237139,-80.7959986
'263532980',291997.78,-251246.18,35.21370221,-80.76392032
'258904620',291302.96,-251281.71,35.21338797,-80.77168206
'258904050',292363.99,-250850.4,35.21720264,-80.75982943
'258896390',289751.58,-251761.81,35.20914177,-80.78901234
'258896539',290559.86,-251587.19,35.21068618,-80.77998314
'258908410',289667.44,-251449.61,35.21190299,-80.78995225
'258907849',291020.81,-251132.24,35.21470994,-80.77483393
'258908167',290290.76,-251903,35.20789303,-80.78298922
'699603607',291937.88,-251198.39,35.21412488,-80.76458945
'258896333',289594.69,-251834.66,35.20849746,-80.79076493
'699646216',291732.4,-251534.26,35.21115431,-80.76688484
'258896311',289289.09,-251659.71,35.21004478,-80.79417875
'264495220',289290.41,-251660.47,35.21003806,-80.79416401
'264256767',291180.8,-250855.6,35.21715665,-80.7730467
'258896510',290372.05,-251675.98,35.20990089,-80.78208114
'258904752',290878.67,-250822.1,35.21745294,-80.77642175
'258907772',290584.42,-251297.24,35.21325061,-80.77970878
'263997296',289124.85,-251395.9,35.21237802,-80.79601346
'263534303',290598.15,-250919.09,35.21659512,-80.77955541
'258904583',291346.94,-251137.54,35.21466306,-80.77119077
'260760205',290582.18,-251644.62,35.21017825,-80.77973381
'258904343',291756.45,-251054.8,35.21539485,-80.76661618
'260761343',291155.21,-250957.28,35.21625735,-80.77333256
'260761081',292016.49,-251340.59,35.21286721,-80.76371131
'699625094',292032.17,-250738.62,35.21819127,-80.76353615
'258904171',292253.56,-251218.1,35.21395056,-80.76106303
'258896353',289639.28,-251749.63,35.2092495,-80.79026682
'258904025',292287.09,-250719.5,35.21836037,-80.76068847
'258907869',290595.72,-250929.73,35.21650102,-80.77958255
'258904396',291716.43,-250999.32,35.21588553,-80.76706324
'704839763',291127.48,-250912.36,35.21665464,-80.77364233
'263533205',291106.8,-250833.84,35.21734911,-80.77387334
'627235688',290542.05,-251035.55,35.2155651,-80.78018209
'258903833',291228.11,-251032.74,35.21558996,-80.7725182
'263534385',290280.5,-251644.91,35.21017568,-80.78310384
'258907703',290743.64,-250772.58,35.21789091,-80.77793016
'264281556',290478.53,-251648.65,35.2101426,-80.78089167
'263533061',291852.03,-251018.86,35.21571272,-80.76554847
'258908193',290203.75,-251847.15,35.20838699,-80.7839612
'258904221',291829.05,-251067.64,35.21528129,-80.76580518
'699623266',291198.86,-250526.79,35.22006478,-80.77284495
'258908400',289806.78,-251458.6,35.21182348,-80.7883957
'258908017',291019.4,-252280.42,35.20455498,-80.77484968
'258907839',291116.74,-251084.61,35.2151312,-80.7737623
'258904498',291797.05,-251404.09,35.21230559,-80.76616265
'258904703',291114.26,-250737.63,35.21820002,-80.77379001
'263681989',291033.11,-250531.57,35.2200225,-80.77469652
'258904238',291960.99,-251060.4,35.21534532,-80.76433129
'258908310',290067.05,-251816.42,35.20865878,-80.78548826
'471790414',291209.26,-251263.03,35.21355318,-80.77272877
'630011445',291524.68,-251277.07,35.213429,-80.76920526
'258908452',289609.4,-251886.23,35.20804135,-80.79060061
'699624854',292046.1,-251045.79,35.21547454,-80.76338054
'258896534',290419.95,-251518.86,35.21129052,-80.78154606
'258907678',291398.35,-250529.84,35.2200378,-80.77061647
'258896556',290668.01,-251489.85,35.21154709,-80.77877501
'263532917',291813.02,-251203.64,35.21407845,-80.76598425
'263533088',291722.91,-251021.22,35.21569184,-80.76699085
'699644085',292026.23,-250565.37,35.21972356,-80.7636025
'260761328',291150.54,-250915.63,35.21662572,-80.77338473
'699624814',292071.03,-250907.29,35.21669948,-80.76310205
'258904401',291720.8,-250974.48,35.21610523,-80.76701443
'258908061',290864.92,-251636.84,35.21024706,-80.77657535
'699624092',292261.99,-250688.23,35.21863694,-80.76096886
'258904478',291730.08,-251277.12,35.21342856,-80.76691076
'258908420',289828.2,-251603.44,35.21054246,-80.78815642
'637684705',290686.88,-251215.78,35.21397108,-80.77856422
'258908330',289910,-251840.12,35.20844917,-80.78724265
'258908076',290497.04,-251789.16,35.20889988,-80.7806849
'261245655',289157.24,-251323.82,35.21301553,-80.79565163
'258904005',292117.25,-250726.12,35.21830182,-80.76258573
'260761288',291338.63,-250932.84,35.21647351,-80.7712836
'699645894',291585.51,-251246.22,35.21370185,-80.76852573
'258896316',289317.43,-251676.04,35.20990036,-80.79386217
'258908370',290102.19,-251529.27,35.21119845,-80.78509571
'258904441',291877.89,-250688.49,35.21863464,-80.76525959
'258907799',290847.43,-251071.87,35.21524387,-80.77677073
'258908479',289143.59,-251371.89,35.21259038,-80.79580412
'260761116',291924.77,-251283.79,35.21336957,-80.7647359
'258904181',292300.17,-251163.89,35.21443001,-80.76054236
'258903970',292031.06,-251110.35,35.21490354,-80.76354855
'258908395',289835.08,-251467.58,35.21174406,-80.78807957
'699646121',291629.79,-251651.53,35.21011713,-80.76803109
'260761136',291570.14,-251031.24,35.21560322,-80.76869743
'258908022',291059.37,-252299.9,35.20438269,-80.77440318
'263533214',291129.67,-250913.57,35.21664394,-80.77361786
'258904651',291132.48,-251239.28,35.21376323,-80.77358647
'258908425',289789.37,-251595.56,35.21061215,-80.78859019
'258907965',290768.91,-251790.85,35.20888493,-80.77764787
'258904147',292223.65,-251154.8,35.21451041,-80.76139715
'470868498',291494.98,-251126.47,35.21476097,-80.76953703
'258908055',290808.71,-251698.41,35.20970251,-80.77720327
'258908240',290131.62,-252069.65,35.20641911,-80.78476696
'258908029',291155.39,-252260.21,35.20473372,-80.77333055
'258908435',289777.39,-251699.39,35.20969384,-80.78872402
'258904000',292106.18,-250762.44,35.2179806,-80.76270939
'258904154',292207.87,-251202.53,35.21408827,-80.76157343
'258903780',290700.98,-250967.86,35.21616378,-80.77840671
'258903826',291207.62,-251051.73,35.215422,-80.77274709
'258896321',289427.83,-251738.32,35.20934953,-80.79262891
'260761091',291989.39,-251277.62,35.21342414,-80.76401404
'263530675',289962.91,-251638.59,35.21023158,-80.78665159
'716733250',291513.03,-251129.39,35.21473514,-80.7693354
'258896652',290618.43,-250966.45,35.21617625,-80.77932886
'263530738',290592.99,-250961.92,35.21621632,-80.77961305
'258904105',292313.03,-251033.82,35.2155804,-80.7603987
'699603637',291826.9,-251172.1,35.2143574,-80.7658292
'258908235',290136.92,-252060.13,35.20650331,-80.78470775
