NODE_ID,CYME_X,CYME_Y,LAT,LONG
'258443484',240037.8,-219174.46,35.51509425,-81.32813726
'263399301',236251.75,-218252.81,35.52317049,-81.37108494
'258425946',237571.33,-219269.92,35.51425775,-81.35611607
'258425137',230838.14,-213938.57,35.56097536,-81.4324951
'258443509',240206.8,-219031.11,35.51635039,-81.32622019
'258443439',239332.36,-219162.46,35.5151994,-81.33613954
'263755757',233919.55,-216386.73,35.5395226,-81.39754063
'260664726',240269.82,-219129.53,35.51548796,-81.32550531
'258425527',231542.54,-216715.35,35.53664296,-81.42450462
'263395246',233920.15,-216389.45,35.53949876,-81.39753382
'258443976',235294.88,-218355.86,35.52226748,-81.38193935
'258426126',237962.41,-219507.36,35.51217711,-81.35167979
'258425767',236009.52,-219312.98,35.51388042,-81.37383271
'258406652',231855.82,-214742.4,35.55393155,-81.42095088
'260664696',239040.47,-218811.7,35.51827304,-81.33945064
'258425832',236627.13,-218608.76,35.52005137,-81.36682675
'258444259',232925.03,-220584.28,35.50274026,-81.40882212
'258405918',233491.35,-218689.54,35.51934351,-81.40239798
'258424981',231266.87,-214450.64,35.55648819,-81.42763173
'258443986',235317.21,-218239,35.52329151,-81.38168604
'258444132',234360.08,-220851.37,35.5003998,-81.3925434
'258405617',232161.01,-221004.04,35.49906198,-81.41748891
'261052101',237201.37,-219068.84,35.51601977,-81.36031277
'258406363',232951.1,-217727.89,35.52777027,-81.4085264
'258425792',236429.9,-218930.08,35.5172357,-81.36906406
'258405739',233366.36,-220352.76,35.50476902,-81.40381583
'258406263',232965.88,-217425.08,35.53042373,-81.40835874
'263395201',231229.29,-213713.04,35.56295164,-81.42805803
'258406313',232412.54,-217799.3,35.52714451,-81.41463564
'259550269',234070.1,-220397.53,35.50437671,-81.39583284
'260663800',231773.75,-213483.8,35.56496043,-81.42188186
'258443941',235367.06,-218528.99,35.52075038,-81.38112056
'263391400',233923.2,-218035.21,35.52507728,-81.39749922
'258444098',234324.24,-220757.36,35.50122359,-81.39294996
'259400478',234631.81,-215323.4,35.54884036,-81.38946099
'258443499',240179.54,-218860.14,35.51784857,-81.32652941
'264487418',242536.17,-219227.1,35.51463297,-81.2997966
'259596203',235039.97,-222257.67,35.48807666,-81.38483096
'258443985',235327.78,-218259.96,35.52310784,-81.38156614
'264245362',240473.72,-219175.25,35.51508732,-81.32319233
'258425015',231091.5,-214728.89,35.55404994,-81.42962107
'258425700',235126.69,-219760.18,35.50996169,-81.38384724
'258405883',233517.64,-219110.49,35.5156548,-81.40209976
'260663810',231851.38,-213672.57,35.56330627,-81.42100125
'263395363',234477.94,-220037.02,35.50753579,-81.39120644
'258406278',232839.52,-217489.04,35.52986326,-81.40979212
'258406667',231904.13,-214783.08,35.55357508,-81.42040287
'258443629',241811.25,-218713.75,35.51913136,-81.30801985
'263395444',237445.51,-220075.89,35.50719518,-81.35754333
'258425902',236726.57,-218886.24,35.51761986,-81.36569874
'261243331',234948.3,-215044.16,35.55128729,-81.38587083
'384399746',232449.44,-215956.24,35.5432949,-81.41421706
'286927271',235132.1,-222395.63,35.48686774,-81.38378587
'258425548',232625.89,-216490.09,35.53861687,-81.41221547
'258425777',236218.67,-219052.04,35.51616699,-81.37146018
'261433681',234012.87,-217464.1,35.53008181,-81.39648203
'258444001',235209.17,-218003.1,35.52535865,-81.38291161
'258406490',232690.36,-216215.92,35.54101937,-81.41148414
'263391355',233803.45,-220283.52,35.50537576,-81.39885762
'263733327',235664.7,-219505.5,35.5121934,-81.37774423
'258406203',233129.53,-217817.24,35.52698731,-81.40650235
'263399328',236058.66,-218285.74,35.52288193,-81.37327528
'258444108',234035.14,-220632.8,35.50231509,-81.39622941
'260664691',238990.99,-218795.84,35.51841202,-81.34001192
'258406383',232907.34,-216884.8,35.53515811,-81.40902279
'258406662',231776.66,-214545.3,35.5556587,-81.42184885
'258443619',241538.14,-219762.38,35.50994241,-81.31111791
'259418041',241859.64,-218706.9,35.51919139,-81.30747093
'258425348',234293.72,-215935.19,35.54347936,-81.39329617
'491242317',234665.95,-220933.55,35.49967967,-81.38907372
'258425045',231276.43,-214115.28,35.55942689,-81.42752329
'258405779',234025.16,-220258.56,35.50559448,-81.39634262
'263399373',234211.57,-220510.6,35.5033859,-81.39422805
'258425685',234949.2,-219120.22,35.51556954,-81.38586062
'258443352',238487.55,-219808.94,35.50953442,-81.34572278
'258425338',234275.94,-216184.37,35.54129584,-81.39349786
'260662901',233557.74,-217560.29,35.52923891,-81.40164488
'491242397',234374.03,-220897.86,35.49999242,-81.39238516
'258406550',232592.06,-215069.53,35.55106497,-81.41259922
'258405784',234056.95,-220310.01,35.50514363,-81.39598201
'258405928',233486.9,-218480.37,35.52117643,-81.40244846
'258443886',235712.63,-218453.65,35.52141057,-81.37720053
'260663785',231521.24,-213646.74,35.56353262,-81.42474624
'259446919',236957.39,-219569.47,35.51163285,-81.36308039
'258425568',233005.36,-217990.75,35.52546687,-81.40791089
'258405978',232986.62,-218292.82,35.52281989,-81.40812347
'258425725',235633.24,-219550.44,35.5117996,-81.3781011
'261052091',237356.58,-218853.53,35.51790649,-81.35855212
'264146153',235088.98,-219773.33,35.50984646,-81.38427501
'620861448',230770.82,-213931.62,35.56103627,-81.43325875
'263399274',242488.25,-218555.2,35.5205207,-81.30034019
'258444120',234035.94,-220669,35.50199787,-81.39622034
'263395462',237919.91,-219450.79,35.51267282,-81.35216189
'258425373',234344.31,-215415.92,35.54802962,-81.39272229
'263960229',234979.36,-215257.39,35.54941879,-81.3855185
'258406353',232896.27,-217495.87,35.52980341,-81.40914837
'258406193',233138.02,-217814.43,35.52701193,-81.40640604
'258425912',236545.46,-218988.56,35.51672325,-81.36775319
'258444174',234840.75,-222079.15,35.48964099,-81.38709084
'258443981',235226.76,-218361.46,35.52221841,-81.38271208
'259149287',235164.58,-218399.38,35.52188613,-81.38341743
'258444149',234443,-221109.03,35.49814197,-81.39160279
'258425403',234823.19,-215373.26,35.54840345,-81.38729004
