NODE_ID,CYME_X,CYME_Y,LAT,LONG
'263532134',272229.66,-247095.66,35.25459349,-80.98322015
'263532431',271797.26,-247912.21,35.24741899,-80.98805568
'258901662',272363.46,-246360.1,35.26105638,-80.98172387
'260908048',272787.72,-247117.71,35.25439975,-80.97697937
'259482017',272016.78,-247894.02,35.24757882,-80.98560079
'259972713',272149.18,-249054.28,35.23738436,-80.98412016
'258902337',271664.39,-248063.65,35.24608839,-80.98954156
'258901324',272018.5,-247908.45,35.24745203,-80.98558155
'477454479',272124.14,-249121.69,35.23679207,-80.98440018
'263532143',272407.48,-246762.51,35.25752066,-80.98123159
'258902291',271878.75,-247934.87,35.24721989,-80.98714438
'258902347',271931.29,-248098.25,35.24578438,-80.98655682
'259251590',272122.19,-248513.54,35.24213549,-80.98442199
'261124239',272816.51,-246815.89,35.25705165,-80.97665742
'699064053',273226.26,-246734.85,35.2577637,-80.97207519
'258902236',272542.73,-248013.22,35.24653148,-80.9797191
'477454423',272070.01,-249267.43,35.23551155,-80.98500552
'258902451',271902.15,-247798.96,35.24841405,-80.9868827
'259415420',272005.29,-249306.69,35.2351666,-80.98572928
'258901464',272463.87,-246680.79,35.25823869,-80.98060099
'259430616',272812.5,-246462.19,35.26015938,-80.97670226
'258901672',272374.26,-246609.58,35.25886436,-80.98160309
'637702670',271917.68,-247926.05,35.24729739,-80.98670902
'617082530',272436.66,-246909.16,35.25623215,-80.98090528
'258902552',271973.98,-248180.5,35.2450617,-80.98607942
'258902012',272100.26,-247086.2,35.25467661,-80.98466723
'263532350',272466.06,-247198.23,35.25369227,-80.9805765
'258902461',271810.57,-247700.89,35.24927573,-80.98790683
'258901997',272353.08,-247156.91,35.25405533,-80.98183995
'258901496',272784.49,-246492.39,35.25989404,-80.9770155
'258902508',271852.74,-248207.58,35.24482377,-80.98743525
'258901712',272381.2,-246744.73,35.25767689,-80.98152548
'260760894',272527.93,-247117.6,35.25440072,-80.9798846
'258902456',271882.96,-247761.05,35.24874714,-80.9870973
'258901707',272236.41,-246553.38,35.25935816,-80.98314467
'261102414',272188.95,-248350.61,35.24356705,-80.98367541
'258901677',272307.53,-246548.54,35.25940068,-80.98234933
'258902308',271831.98,-248025.7,35.24642183,-80.98766741
'258911864',271613.34,-248180.92,35.24505801,-80.99011245
'259482022',272042.37,-247631.98,35.24988119,-80.98531462
'258901497',272799.8,-246507.85,35.2597582,-80.97684428
'263532152',272490.41,-246636.57,35.25862722,-80.98030419
'258902421',271413.94,-247684.52,35.24941956,-80.99234234
'261299991',272398.99,-248216.62,35.24474434,-80.98132654
'617082531',272444.24,-246910.37,35.25622151,-80.98082051
'258901982',272280.85,-247112.94,35.25444166,-80.9826477
'258901487',272608.88,-246461.16,35.26016843,-80.97897934
'258902352',271943.09,-248151.22,35.24531897,-80.98642486
'260760839',272498.84,-246526.07,35.25959811,-80.98020992
'258902266',272716.76,-247833.57,35.24810995,-80.97777292
'258902281',272483.19,-247880.25,35.2476998,-80.98038493
'258901465',272491.89,-246636.92,35.25862414,-80.98028764
'258901501',272706.11,-246314.47,35.2614573,-80.97789202
'263920202',272814.02,-246462.35,35.26015798,-80.97668526
'258902271',272744.46,-247825.91,35.24817726,-80.97746315
'263701666',272511.45,-247227.1,35.25343861,-80.9800689
'258901325',271962.65,-247918.56,35.2473632,-80.98620612
'477454451',272103.22,-249178,35.23629731,-80.98463413
'258901480',272597.62,-246477.18,35.26002768,-80.97910526
'258902503',271809.86,-248307.25,35.24394803,-80.98791477
'637702710',271961.17,-247918.86,35.24736056,-80.98622268
'263532125',272214.44,-247124.66,35.25433869,-80.98339036
'258902006',272510.48,-247225.93,35.25344889,-80.98007975
'258902320',271766.32,-248028.49,35.24639732,-80.98840168
'260760832',272511.19,-246525.66,35.25960171,-80.98007181
'632976355',272818.56,-246181.69,35.26262396,-80.97663449
'637702731',272005.37,-247792.1,35.24847432,-80.98572839
'259430686',272602.43,-246331.59,35.26130688,-80.97905147
'261430702',272551.57,-246663.7,35.25838884,-80.97962024
'258902389',271702.48,-247938.01,35.2471923,-80.9891156
'258901992',272313.16,-247141.96,35.25418668,-80.98228637
'258911854',271662.86,-248237.64,35.24455965,-80.98955867
'260760913',272645.95,-247202.19,35.25365748,-80.97856479
'637702664',271909.47,-247902.71,35.24750246,-80.98680084
'261300001',272186.71,-248330.06,35.24374761,-80.98370046
'477454621',272126.12,-248723.82,35.2402879,-80.98437804
'258901475',272549.24,-246557.64,35.25932073,-80.97964629
'259415421',272032.3,-249368.94,35.23461965,-80.98542723
'477454437',272088.17,-249218.54,35.23594111,-80.98480244
'263864505',272352.51,-247158.32,35.25404294,-80.98184632
'258902493',271964.81,-248411.41,35.24303284,-80.98618197
'258902246',272566.37,-247912.5,35.24741644,-80.97945473
'258902256',272637.53,-247982.49,35.24680149,-80.97865895
'258901667',272580.56,-246577.6,35.25914535,-80.97929604
'258911874',271545.18,-248140.8,35.24541052,-80.99087469
'258901507',272765.23,-246166.99,35.26275312,-80.97723088
'263532188',272641.91,-246412.72,35.26059404,-80.97860997
'258902211',272278.25,-247678.41,35.24947324,-80.98267677
'258911879',271500.81,-248217.13,35.24473986,-80.99137088
'264586425',272031.19,-249372.05,35.23459232,-80.98543964
'258902431',271558.94,-247728.47,35.2490334,-80.99072081
'258911869',271560.45,-248132.97,35.24547932,-80.99070392
'259357179',272705.89,-246413.05,35.26059114,-80.97789448
'264339105',272182.67,-248288.76,35.24411049,-80.98374564
'258901502',272734.88,-246257.64,35.26195663,-80.97757028
'261198268',273141.2,-246689.31,35.25816383,-80.97302641
'260760909',272753.38,-247165.85,35.25397678,-80.9773634
'258901657',272441.01,-246428.98,35.26045118,-80.98085663
'258902542',271930.88,-248216.47,35.24474566,-80.98656141
'259481396',272291.67,-246942.63,35.25593807,-80.9825267
'261139259',272391.7,-247240.26,35.25332298,-80.98140806
'258902414',271526.07,-247776.46,35.24861174,-80.99108839
'258902557',271816.09,-248282.22,35.24416795,-80.9878451
'258902002',272465.05,-247199.37,35.25368226,-80.98058779
'258902466',271709.33,-247620.2,35.2499847,-80.989039
'258902436',271553.88,-247662.22,35.24961549,-80.99077739
'263849341',272610.13,-246462.02,35.26016088,-80.97896536
'263532170',272550.52,-246558.46,35.25931352,-80.97963198
'260908053',272835.56,-247135.44,35.25424397,-80.97644438
'258902537',271892.21,-248233.76,35.24459374,-80.98699385
