NODE_ID,CYME_X,CYME_Y,LAT,LONG
'262298098',311168.48,-184809.79,35.80303981,-80.52034481
'254443281',306404.11,-173368.46,35.90218558,-80.57441649
'624259439',310728.98,-170310.27,35.92868658,-80.52533277
'260957962',309742.83,-170941.49,35.92321669,-80.53652476
'287833445',311682.52,-171052.85,35.92225169,-80.51451087
'254448801',309131.04,-182515,35.8229255,-80.54346807
'254459796',312740.41,-186668.63,35.78693189,-80.50250469
'254454495',311109.54,-182192,35.82572449,-80.52101373
'254448480',309952.34,-180944.75,35.83653263,-80.53414699
'621329097',307287.4,-175210.48,35.88622341,-80.56439187
'254455085',313172.4,-184947.51,35.80184639,-80.49760196
'482826767',306960.07,-173571.67,35.90042465,-80.5681068
'624621130',305933.99,-172688.49,35.90807792,-80.57975196
'262291758',305985.11,-173492.75,35.90110854,-80.57917179
'254413369',311672.35,-167097.86,35.95652397,-80.5146263
'254413013',309714.5,-168174.58,35.94719357,-80.53684628
'624622176',307842.01,-174999.97,35.8880476,-80.5580975
'254420137',312778.51,-168031.52,35.94843327,-80.50207229
'254432944',306469.72,-180185,35.84311631,-80.57367187
'261127621',310821.53,-180332.51,35.84183805,-80.5242824
'259156275',306141.38,-177960.55,35.86239246,-80.57739826
'254433179',306883.47,-175735.03,35.88167788,-80.56897614
'254406698',309027.5,-172643.95,35.90846388,-80.54464317
'254421161',311120.92,-166342.79,35.96306709,-80.52088457
'254454420',310294.83,-182338.02,35.82445914,-80.53026001
'474204070',314103.17,-183867.38,35.81120634,-80.48703849
'254466968',306764.52,-174525.03,35.89216323,-80.57032613
'254460478',309059.79,-183770,35.8120502,-80.5442767
'254405564',309138.66,-173201.44,35.90363291,-80.54338159
'254444335',306444.82,-174214.79,35.89485164,-80.57395446
'470236171',307922.84,-174996.89,35.88807429,-80.55718015
'254420831',313412.39,-164862.07,35.97589839,-80.49487827
'254420552',312810.49,-165959.15,35.96639156,-80.50170934
'254459879',312120.77,-184345.56,35.80706264,-80.5095371
'254427030',311724.62,-170800.23,35.92444079,-80.51403307
'259553539',308556.56,-167999.41,35.94871152,-80.54998795
'254420122',312900.14,-167957.64,35.94907348,-80.50069189
'254406158',310275.64,-172451.2,35.91013417,-80.53047781
'254454348',310229.16,-181275.7,35.83366476,-80.53100532
'263664395',308394.48,-176936.48,35.87126662,-80.55182742
'254437480',305974.64,-173441.99,35.9015484,-80.57929062
'254461007',311914.54,-179460.64,35.84939331,-80.51187764
'259540045',302448.45,-172461.56,35.9100444,-80.61930997
'254437879',303105.83,-173251.39,35.90320006,-80.61184925
'254444409',307246.07,-175091.67,35.88725297,-80.56486093
'695134876',307950.74,-174558.01,35.89187744,-80.55686351
'254438306',301209.68,-172066.25,35.91346999,-80.63336899
'254406108',310411.02,-172924.09,35.90603631,-80.52894135
'262288854',309154.6,-168980.94,35.94020599,-80.54320069
'624622112',307901.32,-174820.86,35.88959969,-80.55742438
'262296540',312734.35,-185374.07,35.79815,-80.50257347
'262299926',308396.24,-176938.95,35.87124521,-80.55180745
'254443973',307024.48,-173635.48,35.8998717,-80.5673758
'254427050',312381.17,-170287.25,35.92888606,-80.50658177
'261177709',310156.28,-171073.88,35.92206945,-80.53183244
'262298224',310583.03,-180978.73,35.83623817,-80.52698918
'254432934',306716.51,-180015.54,35.84458478,-80.570871
'254432605',306017.24,-181847.65,35.82870848,-80.57880714
'254426845',310604.8,-170726.77,35.92507736,-80.52674211
'251939500',308241.83,-184244.83,35.80793552,-80.55355988
'254438054',302556.32,-173012.67,35.90526871,-80.61808574
'254466757',308285.59,-174539.22,35.89204027,-80.55306324
'264425617',314148.23,-164534.92,35.97873334,-80.48652709
'254460216',310199.32,-184710.19,35.80390291,-80.53134397
'705407882',310892.67,-168075.56,35.94805164,-80.52347502
'263676680',309682.08,-170716.99,35.92516211,-80.53721422
'705406944',309724.87,-168424.77,35.94502553,-80.53672859
'254420826',313574.35,-164590.36,35.97825292,-80.49304016
