NODE_ID,CYME_X,CYME_Y,LAT,LONG
'260652081',269409.15,-241701.93,35.30408111,-81.01097249
'261107340',268567.15,-239381.13,35.32401662,-81.0208939
'264010483',270191.21,-239105.05,35.32638813,-81.00175736
'264308316',268646.44,-239289.94,35.32479994,-81.01995962
'258281199',269496.99,-241113.12,35.30913895,-81.00993746
'261297316',270159.17,-239069.71,35.3266917,-81.0021349
'261014260',268919.38,-239694.57,35.32132419,-81.01674353
'258287580',269173.34,-241086.32,35.30936916,-81.01375108
'258282060',269357.59,-239456.28,35.32337109,-81.01158003
'258281595',269309.24,-240334.6,35.31582638,-81.01214975
'263361269',269468.24,-241267.05,35.3078167,-81.01027623
'455203868',270707.92,-240138.36,35.31751207,-80.99566889
'258281950',269069.26,-238584.59,35.33085884,-81.01497747
'264528610',269271.55,-241496.6,35.30584488,-81.01259385
'258281691',269718.38,-239685.97,35.32139807,-81.00732879
'263628591',269336.85,-240129.27,35.31759015,-81.01182442
'258287465',268891.64,-240075.94,35.31804825,-81.01707039
'621802984',269003.23,-242012.13,35.30141652,-81.01575551
'258287827',268771.06,-241977.51,35.3017139,-81.0184912
'258282253',270606.3,-238584.61,35.33085867,-80.9968663
'258281383',269281.5,-240564.6,35.3138507,-81.01247661
'258281762',269777.9,-239566.57,35.3224237,-81.00662746
'258287695',269047.55,-241681.69,35.30425497,-81.01523328
'258281167',269938.24,-241285.61,35.30765727,-81.00473815
'258281850',269680.16,-239000,35.3272905,-81.00777914
'261264278',270018.34,-238615.81,35.33059066,-81.00379432
'259371075',268599.38,-239836.37,35.32010614,-81.02051413
'258281960',268976.91,-238684.37,35.33000174,-81.01606564
'258282148',270220.13,-239097.48,35.32645315,-81.0014166
'455203873',270620.42,-239897.56,35.31958052,-80.99669992
'260651139',268681.58,-240360,35.3156082,-81.01954556
'258287520',268856.52,-240357.48,35.31562984,-81.01748422
'258278501',268904.93,-241602.31,35.30493684,-81.01691379
'428164333',269268.6,-241452.03,35.30622774,-81.01262862
'258281353',269145.18,-240852.67,35.3113762,-81.01408289
'261119875',269519.87,-239922.35,35.31936758,-81.00966786
'261107330',268691.12,-239427.29,35.32362011,-81.01943315
'260031912',270496.03,-239156.07,35.32594987,-80.99816563
'258278309',269094.47,-242357.26,35.29845188,-81.01468041
'258281278',269376.59,-240646.87,35.313144,-81.01135615
'868882793',269822.75,-238694.71,35.32991292,-81.00609898
'261014255',268953.72,-239683.87,35.3214161,-81.01633889
'258287535',268736.22,-240370.73,35.31551603,-81.01890173
'258281671',269656.19,-240086.4,35.3179584,-81.00806158
'258281288',269505.73,-240614.69,35.31342043,-81.00983448
'704826203',268135.63,-243003.09,35.29290424,-81.02597857
'264310852',269444.03,-239840.46,35.32007101,-81.0105615
'261459148',270565.61,-239195.47,35.32561143,-80.99734575
'258287842',268683.27,-241856.08,35.30275698,-81.01952565
'258281348',269198.59,-240819.61,35.31166018,-81.01345355
'258284399',270554.93,-238438.09,35.33211727,-80.9974716
'263360609',269238.94,-241561.06,35.30529118,-81.0129781
'258282170',270421.56,-239341.9,35.3243536,-80.99904312
'385900583',268192.34,-242964.01,35.29323994,-81.02531035
'258282221',270592.58,-238771.15,35.3292563,-80.99702796
'258287715',268895.47,-242104.56,35.30062255,-81.01702526
'868882896',269940.21,-238760.9,35.32934435,-81.00471493
'258281580',269330.52,-240470.54,35.31465867,-81.011899
'261297342',270184.16,-238955.41,35.32767352,-81.00184044
'260896132',268675.56,-240589.56,35.31363629,-81.01961649
'258281713',269761.73,-239724.77,35.32106478,-81.00681799
'258278515',269270.85,-241497.95,35.30583329,-81.0126021
'258281240',269465.51,-240952.22,35.31052107,-81.0103084
'258281113',269432.48,-241329.08,35.30728387,-81.01069759
'260859986',268647.89,-240718.55,35.31252828,-81.01994253
'263361386',269858.1,-239416.63,35.32371168,-81.00568245
'258281189',269474.97,-241180.68,35.30855861,-81.01019693
'263361314',269022.78,-240704.07,35.31265266,-81.01552515
'258282191',270352.01,-239234.24,35.32527839,-80.99986263
'469609804',268428.19,-242875.3,35.29400195,-81.02253129
'260650908',268783.67,-241081.23,35.30941288,-81.01834262
'258281830',269634.07,-239217.26,35.32542425,-81.00832223
'868882967',269763.6,-238565.45,35.33102325,-81.00679596
'261187914',268970.17,-239122.17,35.32624107,-81.01614506
'258278496',268892.17,-241604.08,35.30492164,-81.01706415
'258287747',268880.95,-242158.31,35.30016084,-81.01719635
'258287590',269113.38,-241136.41,35.30893889,-81.0144576
'261315915',269852,-240740.84,35.31233681,-81.00575433
'264026885',269486.97,-241034.99,35.30981008,-81.01005553
'258281120',269449.5,-241306.48,35.307478,-81.01049704
'258281465',268808.26,-240568.68,35.31381565,-81.01805287
'258287550',269364.95,-241140.85,35.30890075,-81.01149331
'258281161',269832.77,-241290.53,35.30761501,-81.00598092
'258281955',269158.07,-238568.94,35.33099327,-81.01393101
'261119925',269322.39,-239696.69,35.32130598,-81.0119948
'258282154',270505.2,-238973.72,35.32751624,-80.99805757
'258281840',269677.98,-239128.3,35.32618841,-81.00780483
