NODE_ID,CYME_X,CYME_Y,LAT,LONG
'257198649',150994.33,-331193.66,34.53453857,-82.33818963
'257198184',152604.88,-328525.89,34.55765635,-82.31991121
'256679573',146953.17,-326542.17,34.57484643,-82.38405347
'260937748',145803.03,-322548.07,34.60945763,-82.39710662
'257160997',146069.56,-321893.54,34.61512951,-82.39408172
'257171579',148878.1,-322415.88,34.61060313,-82.3622071
'263962297',154087.45,-325863.55,34.58072707,-82.30308526
'257198164',152860.74,-328574.68,34.55723355,-82.31700741
'257186161',159626.29,-327898.82,34.56309027,-82.24022399
'257198354',152066.02,-330310.57,34.54219106,-82.32602683
'256679073',146199.3,-326893.78,34.57179953,-82.39260928
'256680507',145194.22,-324056.56,34.59638569,-82.40401611
'264512527',147162.14,-327059.48,34.57036364,-82.38168183
'256679866',148135.68,-328638.11,34.5566839,-82.37063296
'257198689',153400.25,-329787.57,34.54672316,-82.31088442
'257171975',150754.19,-324877.84,34.58926882,-82.34091502
'257171519',149187.11,-322634.24,34.60871092,-82.35870009
'257198035',152173.76,-327465.33,34.56684672,-82.32480407
'263051256',151863.63,-332198.32,34.52583261,-82.32832379
'264369485',145021.28,-324091.23,34.59608525,-82.40597883
'256679809',147570.01,-328023.21,34.56201236,-82.37705285
'257185324',155683.27,-325735.4,34.58183756,-82.28497402
'257186047',159038.57,-327816.57,34.56380302,-82.24689413
'257184944',152897.79,-326428.37,34.57583258,-82.31658693
'256679556',146673.49,-326176.27,34.57801717,-82.38722761
'257171068',147295.74,-321462.81,34.61886204,-82.38016558
'257198559',151756.83,-332049.08,34.52712586,-82.32953588
'256679028',145990.83,-327461.91,34.56687635,-82.39497524
'472437534',156556.27,-327177.2,34.56934353,-82.27506619
'264460456',145888.87,-325056.38,34.58772167,-82.3961324
'257198624',151174.95,-331040.87,34.53586259,-82.33613974
'257160861',146145.82,-320876.62,34.62394172,-82.39321623
'256680287',145022.54,-324092.09,34.5960778,-82.40596453
'615648884',146312.26,-320483.03,34.6273524,-82.39132727
'263962252',152688.98,-326410.1,34.5759909,-82.31895675
'257186283',156185.62,-326562.81,34.57466758,-82.27927276
'261293460',147458.64,-321798.8,34.61595049,-82.3783168
'257198015',152191.35,-327339.9,34.56793364,-82.32460444
'257161144',146499.56,-322438.98,34.61040296,-82.38920157
'263631862',146128.65,-322484.44,34.61000902,-82.3934111
'257171636',149317.07,-323081.35,34.60483645,-82.35722515
'256679986',148425.96,-329327.43,34.55071054,-82.36733852
'260937739',145722.62,-322823.78,34.60706844,-82.3980192
'257161231',146253.04,-323542.06,34.60084413,-82.39199937
'257185216',154893.35,-325807.42,34.58121347,-82.29393896
'256679078',146552.86,-327037.59,34.57055333,-82.38859666
'256680161',145768.93,-324848.42,34.58952376,-82.39749362
'256679053',146199.26,-327360.02,34.56775929,-82.39260973
'260019335',151512.55,-330809.91,34.53786399,-82.33230826
'257161153',146186.66,-322734.88,34.60783881,-82.39275273
'257198384',151864.8,-330571.06,34.53993376,-82.32831051
'256680610',145753.25,-328442.19,34.55838166,-82.39767158
'257198219',153147.08,-328981.96,34.55370424,-82.31375769
'260421548',147629.95,-329534.94,34.54891234,-82.37637258
'263962705',152272.18,-327601.93,34.565663,-82.32368708
'256678987',144973.01,-327295.45,34.56831883,-82.40652666
'257198704',151851.68,-327038.18,34.57054822,-82.32845941
'260421558',148241.47,-329516.29,34.54907396,-82.36943233
'257160839',146142.68,-320699.75,34.6254744,-82.39325187
'257184854',151775.4,-326506.7,34.5751538,-82.32932513
'256680065',147541.07,-326618.96,34.574181,-82.37738129
'257198694',153404.4,-329736.3,34.54716744,-82.31083732
'256679148',144969.25,-326881.83,34.57190308,-82.40656933
'257172212',150224.51,-325051.45,34.58776439,-82.34692645
'259567731',146473.59,-321684,34.6169453,-82.38949631
'256680715',145642.54,-328810.06,34.55519385,-82.39892804
'262901667',146947.06,-329445.34,34.54968878,-82.38412282
'257184818',151629.45,-326347.45,34.5765338,-82.33098154
'257161406',146236.42,-324152.59,34.59555353,-82.392188
'256679098',146590.5,-327116,34.56987386,-82.38816948
'263837884',146522.6,-320617.67,34.62618567,-82.38894009
'256680233',145223.87,-324150.69,34.59557,-82.4036796
'256679449',146008.93,-325834.54,34.58097846,-82.39476982
'257160947',145536.42,-321747.7,34.6163933,-82.40013242
'257186318',155849.09,-326616.51,34.57420224,-82.2830921
'257184922',152688.12,-326411.36,34.57597998,-82.31896651
'257171755',150211.75,-324056.02,34.59639037,-82.34707127
'256680605',145648.8,-328445.58,34.55835228,-82.398857
'257171118',147097.35,-321721.49,34.61662043,-82.38241715
'257185520',156158.43,-325792.93,34.58133903,-82.27958134
'257198798',151622.16,-325617.01,34.58286348,-82.33106428
'263961991',146603.16,-320700.9,34.62546443,-82.3880258
'257171227',148218.66,-321749.36,34.61637892,-82.3696912
'257198714',151866.96,-327107.51,34.56994743,-82.328286
'700580423',150408.63,-331107.3,34.53528693,-82.34483684
'260421533',148089.16,-329494.6,34.54926191,-82.37116092
'257171879',150446.84,-324476.98,34.59274251,-82.34440319
'257161575',146206.15,-322350.18,34.61117246,-82.39253153
'257171968',150786.73,-324762.13,34.59027151,-82.34054572
'259482032',145479.25,-328672.86,34.55638277,-82.40078125
'256680675',146553.71,-329420.49,34.54990412,-82.38858701
'261298687',158225.6,-325798.22,34.58129319,-82.25612067
'257198369',151989.53,-330446.05,34.54101705,-82.32689493
'257185722',156759.81,-327401.02,34.567404,-82.27275618
'699276290',146016.33,-323816.63,34.59846482,-82.39468584
'257198199',152431.77,-328305.88,34.55956286,-82.32187587
'257171063',147220.01,-321436.86,34.61908691,-82.38102506
'257185415',156507.81,-325439.22,34.58440414,-82.27561617
'257184902',152440.39,-326492.05,34.57528075,-82.32177804
'264145189',146513.15,-321465.45,34.61883916,-82.38904734
'257171785',150262.6,-323605,34.60029872,-82.34649416
'257198588',151931.91,-332300.68,34.5249456,-82.32754887
'257171213',147990.87,-322003.36,34.61417786,-82.37227643
'257185397',156438.66,-325753.55,34.58168028,-82.27640096
'263042991',148644.02,-322757.58,34.6076421,-82.36486372
'257171327',148488.14,-322423.34,34.61053849,-82.36663283
'264537728',145682.97,-328632.86,34.55672939,-82.3984692
'256679844',147922.19,-328300.99,34.55960524,-82.37305589
'257186200',159923.1,-328772.06,34.55552314,-82.23685544
'256679566',146847.78,-326538.45,34.57487867,-82.38524956
'257160942',145850.56,-321784.13,34.61607761,-82.39656719
'263047654',156658.67,-326873.15,34.5719783,-82.27390403
'262901559',147137,-327003.12,34.57085203,-82.38196715
'866078621',154709.38,-325746.56,34.58174086,-82.29602687
'257171268',148058.64,-322301.02,34.61159846,-82.3715073
'263047600',156107.87,-326212.3,34.57770495,-82.28015516
'257161550',145607.53,-324114.77,34.59588127,-82.39932538
'256679068',146338.38,-327046.81,34.57047344,-82.39103083
'257185853',158115.65,-326751.5,34.57303247,-82.25736851
'264411875',146166.5,-320397.49,34.62809365,-82.39298153
'257198379',151919.98,-330523.35,34.5403472,-82.32768427
'262901397',145139.51,-326352.6,34.57648917,-82.40463702
'257185420',156554.43,-325487.56,34.58398524,-82.27508707
'257171874',150479.87,-324405.32,34.59336348,-82.34402833
'257161452',145907.89,-324252.35,34.59468905,-82.39591654
'257198214',153131.21,-328951.14,34.55397131,-82.3139378
'261130318',150004.06,-325344.64,34.58522373,-82.34942838
'256679876',148233.5,-328760.42,34.55562401,-82.36952278
'256678880',144856.63,-327984.81,34.56234512,-82.40784748
'257185580',156144.82,-326318.97,34.57678059,-82.27973581
'257198644',151032.84,-331010.62,34.53612472,-82.33775257
'256679262',145332.8,-325746.98,34.58173722,-82.40244334
'257198114',152751.11,-328106.49,34.56129069,-82.31825162
'257185490',156513.55,-325896.94,34.58043773,-82.27555102
'257184808',151516.53,-326115.23,34.57854612,-82.33226309
'257171273',147919.6,-322225.99,34.61224864,-82.37308529
'260498638',148598.24,-323019.89,34.60536904,-82.36538328
'263040300',146121.49,-323075.52,34.60488697,-82.39349236
'257172132',150085.81,-326142.93,34.57830608,-82.34850059
'257185312',155500.36,-325615.77,34.58287423,-82.2870499
'257184934',152745.6,-326411.49,34.57597885,-82.31831416
'256680041',147387.04,-326719.17,34.57331263,-82.3791294
'257185899',158404.57,-325964.2,34.57985488,-82.2540895
'256680660',146020.36,-329120.44,34.55250423,-82.3946401
'257185161',154309.9,-325793.91,34.58133054,-82.30056064
'257170959',146486.31,-320572.71,34.62657527,-82.38935195
'257171943',151060.3,-324155.62,34.59552728,-82.33744093
'257185378',155893.91,-325814,34.58115645,-82.28258343
'256678939',144935.8,-327798.69,34.56395796,-82.40694896
'257172324',150573.29,-325391.54,34.58481731,-82.34296809
'257185141',154166.69,-325877.15,34.58060922,-82.30218596
'257171031',146979.04,-321099.37,34.62201146,-82.38375987
'385469677',150513.81,-331150.65,34.53491128,-82.34364314
'257185977',158663.97,-327667.08,34.56509844,-82.25114553
'256680402',143687.43,-323570.28,34.60059959,-82.42111693
'257186190',159638.33,-328395.28,34.55878816,-82.24008734
'256679382',145993.84,-325508.52,34.58380361,-82.39494108
'257197846',155650.7,-326848.42,34.5721926,-82.28534366
'257171374',148446.56,-322616.83,34.60886179,-82.36710472
'259394511',152058.35,-327552.13,34.56609454,-82.32611388
'257198474',151801.85,-331333.54,34.53332643,-82.32902494
'256678875',144831.22,-327942.31,34.56271341,-82.40813586
'257172401',151246.01,-325398.34,34.58475839,-82.33533327
'257171419',148478.01,-322942.74,34.60603759,-82.36674779
'256679267',145465.94,-325644.04,34.58262925,-82.40093231
'256679454',145956.75,-325863.34,34.58072889,-82.39536202
'257198736',151822.06,-327196.61,34.56917533,-82.32879558
'256679163',144616.53,-326969.36,34.57114458,-82.41057241
'263918090',146002.07,-326639.25,34.57400518,-82.39484767
'256680362',144179.95,-323809.13,34.59852981,-82.41552724
'263043081',149495.55,-323330.82,34.60267465,-82.35519955
'257185062',153833.44,-326092.22,34.57874551,-82.30596807
'257198358',152047.81,-330331.07,34.54201342,-82.3262335
'256679498',146362.03,-325913.75,34.58029206,-82.39076243
'257185575',155993.84,-326255.22,34.57733302,-82.28144931
'256679158',144791.84,-326869.77,34.57200759,-82.40858279
'260027910',154050.47,-330741.05,34.5384607,-82.30350496
'259496344',146224.35,-322817.03,34.60712694,-82.39232498
