PU_E,VI,CI
3.607116282,12.85787039,0.461219963
0.289476441,1.731090939,0.090123995
6.381098033,1.752598367,0.855631647
3.813328762,10.72450755,0.613186414
0.42921166,1.94348957,0.076566344
5.124686474,6.989740253,0.700686403
6.454705921,4.113328044,0.83063137
6.142719653,8.148645089,0.782695443
5.187354928,26.58678364,0.648840825
0.223274556,2.253033316,0.097738197
0.117772949,1.209090623,0.039868055
6.284998418,1.703766781,0.87479199
3.777713969,7.559826945,0.451748021
2.86514225,19.56451805,0.627711116
5.195879371,10.07579619,0.497216137
6.446685054,1.66761291,0.87258709
5.072020033,19.0126314,0.667729767
6.630711249,1.755816797,0.896319465
6.230528971,7.107411218,0.870587193
6.476841967,2.413023717,0.891485441
3.419138098,25.47102138,0.414502083
6.837947234,1.729779912,0.921965881
5.015129606,18.35211091,0.622966791
6.934069531,2.168159257,0.925539509
2.782589231,12.72744033,0.326042454
6.149646154,10.29968167,0.783048998
5.437561389,28.1083054,0.654850205
0.713399368,1.302776339,0.145370178
1.0160395,12.91034812,0.94890099
6.789337602,1.725737919,0.959715657
6.126110928,15.55573625,0.74205669
4.356781454,5.613699279,0.484875662
5.021459893,16.97050715,0.651396515
3.310245841,18.14446181,0.636364467
1.160447562,3.478505593,0.186326072
2.289852127,8.739483378,0.491307832
4.059065502,4.177928781,0.428563545
4.691758005,22.94595702,0.560220151
3.923837684,10.54972069,0.465088162
4.446670948,16.47876358,0.652994446
0.866195267,1.842012494,0.147269156
2.158882194,6.133433698,0.349706433
0.284227371,0.689358454,0.102619554
0.50560748,6.898276112,0.352776959
7.148799527,9.817072096,0.939544504
6.539226197,17.73826935,0.890237409
7.343690614,1.940263677,0.950027073
5.600142661,16.47410357,0.601558118
7.045995236,11.66857285,0.897656688
4.192136509,23.33790139,0.651651557
4.643556172,10.36624305,0.454890066
2.861869589,4.751393816,0.548592622
6.745158688,4.913321421,0.869787066
6.516699354,20.79062549,0.82426723
7.533693016,1.898368871,0.974713044
5.927174495,24.46979678,0.71343697
5.158365523,5.357707693,0.69924132
7.903324183,1.507904183,1.029869847
7.033385775,8.752826142,0.892361039
3.780365429,5.218665867,0.596439245
6.528404292,18.38611665,0.609291647
0.272861268,2.037007208,0.077656364
6.778909591,12.82419005,0.776902287
5.076939268,15.0461852,0.688671509
2.671770163,1.275472356,0.283814844
0.569576485,4.158799094,0.296431347
7.670440079,8.122531418,0.971278345
7.049910646,4.805635608,0.937473338
7.591043402,5.505657163,0.987019336
7.740601964,1.551775999,1.004300611
2.309630295,23.48251298,0.377533967
8.150489255,1.656259407,1.047517175
7.53386719,11.49273217,0.861114888
7.092232664,14.3487834,0.854378403
0.328908105,1.146260124,0.058164444
0.282337226,1.694457118,0.083682695
2.099071421,3.017094305,0.232793204
1.669251303,2.53051415,0.173481846
8.047898829,1.543678005,1.039278268
7.62706049,4.425611884,0.876517579
5.062001976,16.06353572,0.601825074
1.255754754,4.263601808,0.249376793
7.792597794,5.828130548,0.940899538
1.873346595,16.94397913,0.339720807
8.277294766,1.512030223,1.047369059
7.541418114,16.88453992,0.911603124
1.804854912,2.369538121,0.127358842
1.282417083,8.415283715,0.147887619
6.046725343,6.292268121,0.527368345
7.750047904,11.94546218,0.997298752
6.58132064,13.57090733,0.755787917
7.680395857,6.525084866,0.969068914
4.704811749,8.923526,0.591785288
4.276125475,10.52910131,0.444042486
7.848242335,14.12431611,1.000095647
4.659320965,9.814810941,0.462140014
0.654433733,1.282664171,0.077151023
5.536789178,26.44142337,0.606384504
6.012932735,29.91475373,0.779128741
8.108873755,1.677888597,1.039646576
7.205476499,9.870784793,0.77667218
6.905828819,15.79531247,0.942479638
7.060949003,18.8770285,0.916120593
2.678882708,6.484282721,0.27190738
0.973957902,8.891976579,0.203868533
8.437506371,1.382869117,1.086892134
8.225610767,5.568471477,1.055762398
3.665344568,1.026897969,0.256544366
1.850554527,1.502500115,0.206079043
8.234898603,2.4328467,1.065525629
7.958949231,6.740549192,0.963389107
3.96981396,16.85368824,0.383551658
8.285500519,1.832359924,1.080790525
8.016218261,7.839797174,0.991954967
3.46968784,22.82129259,0.392299463
7.92621991,10.40420834,0.93378504
7.695211269,8.810343103,0.93143308
4.636318563,16.42694049,0.497652859
1.259317912,1.720488507,0.086530659
3.138110204,4.404929792,0.248991476
6.572479975,52.44379004,0.601903831
6.174928455,13.37840582,0.980596236
8.095261516,27.05661141,0.875367699
7.738130569,17.33928832,0.772718011
5.917135831,9.730812253,0.899075353
7.090068969,6.980319961,0.943015254
5.444332608,8.027321995,0.585926923
7.931564313,5.481995211,0.914870517
5.77404746,22.24537644,0.841981173
4.177940025,29.9271415,0.647953013
7.445785711,9.380998197,0.750487846
7.79635976,15.60876404,0.574860862
7.34743599,8.403958987,0.955075728
6.941699285,34.71666075,0.864818564
1.453879736,3.50432859,0.153077566
7.307550812,15.95823167,0.847793845
6.830907341,21.5162537,0.661277222
5.593968437,10.15524995,0.602053934
6.628739604,35.04220839,0.810058657
7.235528402,30.32772848,0.793877267
7.079139227,21.68556662,0.832090385
6.094791416,15.88699948,0.598338949
5.386226631,16.04126956,0.451141635
8.11389038,2.983946828,1.061079266
6.519961669,22.91481521,0.693881953
6.909307857,8.666921593,0.817964057
6.491766021,15.30452151,0.614147775
6.494447202,13.82095973,0.699221457
5.802625855,8.844295674,0.437809148
6.055536331,15.24545263,0.421340754
6.257816997,23.44537998,0.571226953
6.745779007,13.61074555,0.472609122
7.563371577,5.785091313,0.751505476
6.37810208,23.93147976,0.650197065
6.915278099,17.63031236,0.703843835
5.641580238,26.66117571,0.647218486
7.609067898,18.82693819,0.729450371
5.856868958,21.55788753,0.538953676
2.586787535,23.89799157,0.39133957
5.488774603,21.47102364,0.570524055
7.098211907,14.21799494,0.771325691
5.816799125,25.74855703,0.530118729
2.269059591,18.94696017,0.502211253
6.395558735,18.90634006,0.551445523
7.325195182,14.75766316,0.748926701
7.672796444,5.127193042,0.762134878
5.339320312,9.812657883,0.499184556
7.262536014,6.589019514,0.545565058
6.883316777,5.032760544,0.511954185
6.270780565,11.71797388,0.51582083
6.839421363,11.22252993,0.522552214
5.468207115,14.16960037,0.573544439
6.294235022,9.761434864,0.700287378
5.336414945,15.11808014,0.541691714
4.548503027,15.59631372,0.439658181
6.505815476,28.76881633,0.607886802
7.089352364,19.64096491,0.694479275
5.925901236,9.454609502,0.492798342
4.528646618,11.18061355,0.403231449
4.057431837,10.38306649,0.416711626
6.642890907,9.716549666,0.557489713
6.870146925,10.16593954,0.766130506
6.780298889,7.164730718,0.697851979
5.782651062,14.47811737,0.573598769
7.839507895,8.996826535,0.857970201
7.821048347,4.172978148,0.859748672
7.278732069,21.66975603,0.778500903
6.520848346,22.41627841,0.755333218
6.907211885,24.50819431,0.639857883
3.678696286,9.067604465,0.365177275
3.765342265,13.66943484,0.50534956
5.175154223,32.95681242,0.738452779
6.219316183,19.0793373,0.668134611
5.397121114,18.79913922,0.558548717
6.194518899,15.12008732,0.653184913
4.331654355,25.95649295,0.521770861
6.938000896,32.53988365,0.954211291
6.831881819,34.24384222,0.780163643
2.961929359,0.979738893,0.092951102
3.385228594,2.149701543,0.181670465
3.31408825,9.910479855,0.373491181
1.140970845,4.73561111,0.195185225
3.659066491,12.1972821,0.417714724
3.818257464,13.8411547,0.578507939
4.289242174,13.6708324,0.510646848
5.328442367,31.01855403,0.656079312
5.633093888,18.5969223,0.87368956
4.783275071,12.22809024,0.530418793
7.097714438,21.72355548,0.972441127
6.670957339,23.86928319,0.805164953
7.25105459,8.447153773,0.910592432
2.514172157,1.174662659,0.205215343
0.960750799,1.443853282,0.08971922
1.809462996,9.9191443,0.290001745
6.811163666,23.47361358,0.891956192
7.170752112,11.26894409,0.897449987
5.548664658,19.9820146,0.634910423
6.534892156,13.94049832,0.613006959
6.379499658,17.37943089,0.787808249
1.794989058,1.651486108,0.146328751
0.995740069,2.755673356,0.143899704
0.47727768,0.93859834,0.053863568
1.855112899,11.32422459,0.270607607
4.672051329,26.0412775,0.606932488
6.753292736,27.43212947,0.892671364
7.457427186,12.1786539,0.899978002
7.036638179,19.84833287,0.913834577
6.894831807,12.62734156,0.852705292
0,17.07528581,0.648764972
3.064661584,21.27957191,0.522019854
6.176886413,22.11584542,0.865012699
5.716618523,20.80002592,0.79054846
6.515941526,24.68679765,0.771363101
4.257384028,6.760459873,0.999036587
5.80655645,19.62149479,0.57207775
2.664843125,6.075247302,0.226687042
7.089853841,6.424395876,1.022765443
7.747628886,17.33521911,0.963122098
7.659246454,4.383812488,1.010471704
7.170409781,18.73957396,0.820255675
5.629772943,21.81332872,0.802933858
5.761435225,21.43125718,0.696220374
6.750163746,22.609933,0.756059931
6.480236605,28.07028468,0.701169942
6.246024863,7.354534589,0.718641957
6.142060037,29.18477737,0.784423388
4.09192337,18.01867852,0.312265874
5.226051726,30.47459063,0.726836604
6.266371285,17.83173823,0.585358861
5.653341567,30.16241633,0.800159713
1.136571133,6.982854441,0.237563334
2.696267496,9.540718956,0.330370954
3.481250108,6.821616792,0.257841211
5.533227752,28.73894211,0.762361463
4.931156522,20.84856873,0.563571135
3.341357773,24.61747151,0.456961189
3.258421397,3.218443056,0.248403108
2.067786217,2.604088499,0.182541485
5.310673433,22.72642146,0.560272813
3.919388009,19.75757755,0.510393589
3.291269203,8.380243301,0.36161264
4.340475663,14.02918826,0.390437058
7.36931961,1.57462643,0.798144941
6.708794174,14.18458186,0.603528676
6.422494992,21.59493751,0.657479573
0.875021405,1.039611449,0.11711855
1.877611593,3.015299485,0.240411034
1.774628764,21.70943646,0.382860109
1.965695774,5.201789708,0.199406266
6.974647,8.979522317,0.781299035
4.35324179,6.955652942,0.368020751
1.19512822,2.170791999,0.115542659
5.324075225,16.29850718,0.718880319
4.590988446,7.573888816,0.68910393
5.362242646,6.972038223,0.739500789
2.74637293,4.85315027,0.178929457
7.196453208,10.18571348,0.91609988
7.62144757,1.462260774,0.972375646
6.442919912,18.2035651,0.817397785
4.068489413,12.53476491,0.441187508
6.249147812,7.452233624,0.831175252
7.029272932,5.638061467,0.860772469
5.611127642,35.36299967,0.539453936
4.108156894,22.59251949,0.432320099
0.281026848,2.155901021,0.096299379
1.21572424,3.012632301,0.139105416
3.824172911,12.83075736,0.229142813
5.775413004,31.28059172,0.762871668
3.588215747,24.94003131,0.593992514
7.214979872,1.718492405,0.950579036
6.303400915,15.07611459,0.906343346
7.377881838,1.670746559,0.983486827
6.467153587,27.52130332,0.853979542
5.789992502,7.326281814,0.907926563
6.677418302,15.44289927,0.878894683
7.210870184,1.471335731,0.95540327
4.904404512,16.33186868,0.580004498
7.033985548,2.569044332,0.926412246
6.834734849,1.585136098,0.928357891
6.632025523,5.189717095,0.865940376
5.300433446,14.86624044,0.796970623
2.841595978,8.287024238,0.258790882
6.898489652,1.81251034,0.928224476
2.677112171,9.045344717,0.279500348
1.578752617,8.170140275,0.343451923
7.111478742,1.754025013,0.963241422
6.759494312,4.715174972,0.849405257
3.593506701,4.731132314,0.421239628
3.393512982,4.929629701,0.375782689
1.032058142,25.31955758,0.253704302
6.782324804,5.248103103,0.804012805
5.381160499,22.98983664,0.483708326
4.389033983,12.83969493,0.672429064
6.408054064,6.434175159,0.781613367
6.30366914,7.328199718,0.799017307
5.567176287,18.0709436,0.748188151
1.296459155,5.429880283,0.234725998
5.7889577,9.90801551,0.581206788
6.546749871,3.051858806,0.628119628
3.694481258,13.15794268,0.376560125
0.206120011,1.211547473,0.042321932
5.67955956,12.28278919,0.422890129
6.390403873,6.385547243,0.486026868
6.214235833,5.655746406,0.707390665
5.46029839,4.850402566,0.586168584
6.2153362,9.773041668,0.533829213
0.401223071,0.810834715,0.035566865
4.856516006,32.24942687,0.703369083
1.091824058,6.558278545,0.196563023
2.199104773,16.49502541,0.25384228
2.722419586,24.73835885,0.398227835
6.075248989,10.03846232,0.406947795
5.61406556,10.35739425,0.64724594
5.88952258,4.806983987,0.658609653
5.674427906,6.527568844,0.723284733
0.214973395,1.251921415,0.080274941
1.012131878,3.162983503,0.117811719
2.236340582,6.593390092,0.21455442
0.537671115,1.16493744,0.082302936
0.260017238,1.177064772,0.036528988
6.098805521,3.145488142,0.650672953
0.61615435,1.118150633,0.06749629
3.171390691,13.87645735,0.283290231
3.638761624,24.24725576,0.345140232
5.946197048,5.261403579,0.790518174
5.909037591,1.735219223,0.822355983
2.673494951,11.53632214,0.323049682
4.542800554,8.261323519,0.594883095
1.104762117,1.960664306,0.150920915
0.776402833,1.653146149,0.133055598
0.08943578,1.499019566,0.073458438
0.237977118,1.193494661,0.073573377
0.1291669,1.504649135,0.067210533
5.897216358,2.529345161,0.811695641
5.905820312,4.329981479,0.810214708
5.200292984,14.29168769,0.538516464
0.571359419,4.287313415,0.160732293
0.21926911,1.5797694,0.076745251
0.701342559,2.33977249,0.138244532
4.367634032,17.14546307,0.568452404
